country_iso2,region,continent,matching_gap_U_percent,excess_share_percent,max_hourly_uncovered_x_mean,continuous_gap_segment_count,median_continuous_gap_h,p95_continuous_gap_h,max_continuous_gap_h,peak_demand_local_hour,peak_supply_local_hour,demand_supply_phase_lag_h,demand_diurnal_spectral_concentration,supply_diurnal_spectral_concentration
PS,Asia-Pacific,Asia,55.544,55.544,2.077,369,15.000,17.000,40,22,12,10.000,0.507,0.781
BD,Asia-Pacific,Asia,55.314,55.314,1.871,395,15.000,17.000,43,23,12,11.000,0.471,0.750
KH,Asia-Pacific,Asia,54.630,54.630,1.397,380,15.000,17.050,23,21,12,9.000,0.393,0.757
SA,Asia-Pacific,Asia,54.338,54.338,1.772,366,15.000,18.000,41,21,13,8.000,0.614,0.782
DZ,Africa/MENA,EurAfrMENA,53.868,53.868,2.829,375,15.000,18.300,44,21,12,9.000,0.634,0.763
BH,Asia-Pacific,Asia,53.449,53.449,2.072,375,15.000,17.000,22,21,12,9.000,0.490,0.788
MM,Asia-Pacific,Asia,53.253,53.253,2.437,383,15.000,17.000,22,20,12,8.000,0.506,0.774
NE,Africa/MENA,EurAfrMENA,53.045,53.045,5.064,390,15.000,18.000,42,20,12,8.000,0.321,0.784
MY,Asia-Pacific,Asia,53.028,53.028,2.223,382,15.000,18.950,41,20,12,8.000,0.320,0.754
SK,Europe,EurAfrMENA,52.512,52.512,1.917,317,15.000,53.000,259,20,12,8.000,0.657,0.672
IR,Asia-Pacific,Asia,52.360,52.360,4.248,294,5.000,41.000,674,21,14,7.000,0.220,0.106
SR,Latin America,Americas,51.996,51.996,2.286,403,15.000,18.000,21,21,12,9.000,0.440,0.761
KR,Asia-Pacific,Asia,51.506,51.506,1.626,391,15.000,20.000,69,21,12,9.000,0.546,0.682
ID,Asia-Pacific,Asia,51.311,51.311,1.841,398,14.500,17.000,22,22,13,9.000,0.397,0.756
CH,Europe,EurAfrMENA,51.240,51.240,1.798,358,15.000,43.000,95,19,12,7.000,0.601,0.665
JP,Asia-Pacific,Asia,51.094,51.094,1.711,365,15.000,18.000,59,22,12,10.000,0.483,0.745
TW,Asia-Pacific,Asia,51.087,51.087,1.722,402,15.000,19.000,45,22,12,10.000,0.521,0.719
UA,Europe,EurAfrMENA,50.620,50.620,1.877,347,15.000,41.700,117,20,12,8.000,0.575,0.701
UG,Africa/MENA,EurAfrMENA,50.329,50.329,2.456,393,15.000,17.000,41,21,12,9.000,0.566,0.771
HU,Europe,EurAfrMENA,50.192,50.192,1.805,338,15.000,44.150,237,20,12,8.000,0.668,0.686
AE,Asia-Pacific,Asia,50.165,50.165,1.615,375,15.000,17.000,41,21,13,8.000,0.623,0.788
OM,Asia-Pacific,Asia,50.018,50.018,1.901,371,15.000,16.000,20,21,13,8.000,0.613,0.799
GF,Latin America,Americas,49.773,49.773,2.297,423,15.000,19.000,45,14,12,2.000,0.416,0.736
AF,Asia-Pacific,Asia,49.511,49.511,2.302,370,15.000,18.000,42,21,12,9.000,0.391,0.785
NP,Asia-Pacific,Asia,49.412,49.412,2.118,380,15.000,18.000,42,21,12,9.000,0.571,0.749
GH,Africa/MENA,EurAfrMENA,49.395,49.395,2.453,379,15.000,17.000,22,20,13,7.000,0.684,0.766
LC,North America,Americas,49.363,49.363,1.831,373,15.000,17.000,20,21,13,8.000,0.578,0.798
CU,North America,Americas,49.309,49.309,1.883,377,15.000,17.000,22,14,13,1.000,0.236,0.782
BF,Africa/MENA,EurAfrMENA,49.077,49.077,3.253,381,15.000,18.000,43,20,13,7.000,0.569,0.776
ZM,Africa/MENA,EurAfrMENA,49.072,49.072,2.274,396,15.000,17.000,20,21,12,9.000,0.588,0.779
IL,Asia-Pacific,Asia,48.235,48.235,1.925,366,15.000,19.000,66,14,12,2.000,0.606,0.782
EC,Latin America,Americas,48.151,48.151,2.238,390,15.000,18.000,21,20,12,8.000,0.670,0.757
NG,Africa/MENA,EurAfrMENA,48.040,48.040,2.121,389,16.000,18.000,22,18,12,6.000,0.641,0.751
CZ,Europe,EurAfrMENA,46.978,46.978,1.883,357,13.000,44.200,189,20,12,8.000,0.672,0.677
BI,Africa/MENA,EurAfrMENA,46.588,46.588,2.450,395,15.000,18.000,20,13,12,1.000,0.536,0.769
RW,Africa/MENA,EurAfrMENA,46.430,46.430,2.230,393,15.000,18.000,23,15,12,3.000,0.671,0.770
CO,Latin America,Americas,45.965,45.965,1.835,367,16.000,18.000,20,15,12,3.000,0.759,0.780
SV,North America,Americas,44.868,44.868,1.839,402,15.000,17.000,20,14,12,2.000,0.722,0.789
PA,North America,Americas,44.494,44.494,1.858,431,15.000,19.000,42,15,12,3.000,0.744,0.714
NO,Europe,EurAfrMENA,43.532,43.532,1.778,393,5.000,47.800,213,20,15,5.000,0.588,0.040
MG,Africa/MENA,EurAfrMENA,43.430,43.430,1.745,391,16.000,19.000,67,11,12,-1.000,0.700,0.748
RU,Europe,EurAfrMENA,42.779,42.779,2.078,375,12.000,22.300,164,21,12,9.000,0.448,0.649
KZ,Asia-Pacific,Asia,42.762,42.762,1.925,421,12.000,33.000,148,22,13,9.000,0.446,0.347
UZ,Asia-Pacific,Asia,42.737,42.737,2.168,417,14.000,20.000,68,20,12,8.000,0.421,0.670
MU,Africa/MENA,EurAfrMENA,42.618,42.618,1.787,396,15.000,18.000,42,21,12,9.000,0.579,0.780
JM,North America,Americas,42.138,42.138,1.845,431,15.000,19.000,46,21,12,9.000,0.553,0.653
TH,Asia-Pacific,Asia,41.775,41.775,1.687,440,14.000,17.000,21,21,12,9.000,0.544,0.754
BG,Europe,EurAfrMENA,41.200,41.200,1.646,464,12.000,22.000,92,14,13,1.000,0.679,0.714
JO,Asia-Pacific,Asia,41.147,41.147,2.009,392,14.000,17.000,20,22,12,10.000,0.499,0.757
KW,Asia-Pacific,Asia,41.114,41.114,1.630,403,14.000,18.000,41,22,12,10.000,0.607,0.700
MA,Africa/MENA,EurAfrMENA,40.534,40.534,2.821,274,8.000,84.000,112,20,13,7.000,0.680,0.096
IT,Europe,EurAfrMENA,40.172,40.172,1.807,436,13.000,21.000,69,15,12,3.000,0.671,0.702
VN,Asia-Pacific,Asia,39.935,39.935,2.056,439,14.000,18.000,41,21,12,9.000,0.546,0.738
GR,Europe,EurAfrMENA,39.796,39.796,1.920,477,11.000,20.000,54,21,13,8.000,0.682,0.622
SE,Europe,EurAfrMENA,39.703,39.703,1.880,356,6.000,48.500,200,20,14,6.000,0.583,0.028
PH,Asia-Pacific,Asia,39.676,39.676,1.669,396,15.000,17.000,40,21,12,9.000,0.487,0.755
LK,Asia-Pacific,Asia,39.514,39.514,1.561,469,15.000,18.000,43,21,12,9.000,0.566,0.766
BO,Latin America,Americas,39.375,39.375,2.017,414,14.000,18.000,19,20,12,8.000,0.639,0.774
FI,Europe,EurAfrMENA,38.709,38.709,2.163,282,9.000,52.700,158,20,15,5.000,0.593,0.022
NI,North America,Americas,38.249,38.249,1.880,452,4.000,30.450,286,21,12,9.000,0.580,0.100
CR,North America,Americas,37.675,37.675,1.742,614,5.000,24.000,85,20,13,7.000,0.737,0.425
DO,North America,Americas,37.226,37.226,1.679,471,14.000,18.000,66,20,12,8.000,0.739,0.691
TR,Asia-Pacific,Asia,36.907,36.907,2.297,407,12.000,20.000,70,20,12,8.000,0.621,0.583
GT,North America,Americas,36.729,36.729,1.651,509,9.000,19.000,42,15,12,3.000,0.718,0.394
ET,Africa/MENA,EurAfrMENA,36.383,36.383,2.561,508,7.000,20.000,95,20,22,-2.000,0.685,0.360
HN,North America,Americas,35.473,35.473,1.772,457,10.000,18.000,41,21,12,9.000,0.673,0.655
PT,Europe,EurAfrMENA,35.041,35.041,1.775,479,10.000,21.000,58,20,12,8.000,0.699,0.554
BY,Europe,EurAfrMENA,34.921,34.921,2.224,490,7.000,28.000,138,20,12,8.000,0.529,0.482
TN,Africa/MENA,EurAfrMENA,34.536,34.536,2.100,449,10.000,19.000,46,21,13,8.000,0.685,0.682
LY,Africa/MENA,EurAfrMENA,33.586,33.586,2.377,403,13.000,17.000,20,23,12,11.000,0.458,0.665
UY,Latin America,Americas,33.509,33.509,1.739,415,10.000,33.600,74,20,23,-3.000,0.709,0.044
AT,Europe,EurAfrMENA,33.395,33.395,1.734,485,6.000,22.800,112,20,12,8.000,0.633,0.503
RO,Europe,EurAfrMENA,32.709,32.709,1.646,474,7.000,30.700,92,20,13,7.000,0.671,0.542
FJ,Asia-Pacific,Oceania,32.581,32.581,1.871,539,5.000,31.000,112,11,13,-2.000,0.554,0.318
PL,Europe,EurAfrMENA,32.356,32.356,1.732,449,7.000,33.600,114,20,12,8.000,0.688,0.542
KE,Africa/MENA,EurAfrMENA,32.275,32.275,2.132,429,9.000,21.000,118,19,10,9.000,0.582,0.337
CL,Latin America,Americas,31.310,31.310,1.943,479,8.000,19.000,42,20,12,8.000,0.690,0.655
IE,Europe,EurAfrMENA,31.227,31.227,2.207,366,7.000,38.750,191,19,12,7.000,0.359,0.079
NZ,Asia-Pacific,Oceania,31.133,31.133,1.733,389,7.000,42.000,117,14,12,2.000,0.706,0.132
SN,Africa/MENA,EurAfrMENA,30.981,30.981,3.551,527,7.000,18.700,43,19,13,6.000,0.477,0.648
ZA,Africa/MENA,EurAfrMENA,30.974,30.974,1.604,502,10.000,18.000,43,20,13,7.000,0.672,0.787
PY,Latin America,Americas,30.125,30.125,1.811,602,6.000,20.000,79,14,12,2.000,0.667,0.430
MN,Asia-Pacific,Asia,30.103,30.103,1.775,492,6.000,31.450,111,21,13,8.000,0.653,0.197
IN,Asia-Pacific,Asia,29.922,29.922,1.568,462,9.000,18.000,20,21,12,9.000,0.655,0.724
EE,Europe,EurAfrMENA,29.837,29.837,1.692,397,6.000,42.000,110,20,13,7.000,0.657,0.249
PK,Asia-Pacific,Asia,29.674,29.674,1.652,458,9.000,19.000,50,21,13,8.000,0.597,0.547
CV,Africa/MENA,EurAfrMENA,28.324,28.324,1.995,466,5.000,34.000,277,15,12,3.000,0.664,0.267
AR,Latin America,Americas,28.088,28.088,1.833,490,6.000,32.550,108,21,14,7.000,0.681,0.219
MR,Africa/MENA,EurAfrMENA,27.996,27.996,4.304,497,5.000,23.000,121,19,14,5.000,0.547,0.121
EG,Africa/MENA,EurAfrMENA,26.705,26.705,1.772,419,9.000,22.000,80,22,13,9.000,0.596,0.306
ES,Europe,EurAfrMENA,26.081,26.081,1.682,540,7.000,20.050,56,15,13,2.000,0.594,0.619
DK,Europe,EurAfrMENA,26.061,26.061,1.595,434,5.000,34.350,89,20,13,7.000,0.628,0.119
NL,Europe,EurAfrMENA,25.974,25.974,1.656,368,8.000,36.950,114,19,16,3.000,0.618,0.030
AU,Asia-Pacific,Oceania,25.935,25.935,1.816,501,8.000,20.000,67,14,13,1.000,0.666,0.702
CN,Asia-Pacific,Asia,24.989,24.989,1.170,420,14.000,19.000,43,22,13,9.000,0.217,0.714
GB,Europe,EurAfrMENA,24.515,24.515,1.484,367,8.000,34.700,185,20,13,7.000,0.686,0.162
MX,North America,Americas,24.379,24.379,1.523,478,7.000,20.000,70,21,12,9.000,0.727,0.513
BR,Latin America,Americas,23.948,23.948,1.430,524,8.000,19.000,44,20,12,8.000,0.701,0.695
BE,Europe,EurAfrMENA,23.921,23.921,1.702,531,5.000,20.000,139,19,12,7.000,0.657,0.336
FR,Europe,EurAfrMENA,23.362,23.362,1.660,516,6.000,20.000,109,19,12,7.000,0.669,0.474
PE,Latin America,Americas,23.215,23.215,1.716,492,7.000,21.450,115,21,13,8.000,0.768,0.493
DE,Europe,EurAfrMENA,22.641,22.641,1.575,409,7.000,34.600,115,20,12,8.000,0.601,0.382
CA,North America,Americas,22.425,22.425,1.369,379,8.000,40.100,130,14,13,1.000,0.664,0.099
US,North America,Americas,16.769,16.769,1.333,545,6.000,21.000,84,13,13,0.000,0.743,0.620
