country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,top2_label,top2_weight,region,continent,top3_label,top3_weight
AE,L0,W0,L0_W0,0.3309151907055842,2,2,0.0,AE:PV,0.5499393180079067,AE:WIND,0.45006068199209265,Asia-Pacific,Asia,,
AE,L0,W1,L0_W1,0.30828025066163406,2,2,0.0523822940149792,AE:PV,0.561090742100798,AE:WIND,0.4389092578992013,Asia-Pacific,Asia,,
AE,L0,W2,L0_W2,0.2652550503698241,2,2,0.14527233362615302,AE:PV,0.5834365763151761,AE:WIND,0.4165634236848236,Asia-Pacific,Asia,,
AE,L0,W3,L0_W3,0.20795656607196739,2,2,0.2560285003598901,AE:PV,0.6090879152460934,AE:WIND,0.39091208475390626,Asia-Pacific,Asia,,
AE,L1,W0,L1_W0,0.1374298888942387,60,23,0.0,CN:WIND,0.3315876075962547,OM:PV,0.14981332811163725,Asia-Pacific,Asia,PH:WIND,0.12085809482999799
AE,L1,W1,L1_W1,0.11716543605151382,60,24,0.05452865350980722,CN:WIND,0.33394484616338194,OM:PV,0.15619558174406403,Asia-Pacific,Asia,PH:WIND,0.1191075859543295
AE,L1,W2,L1_W2,0.09447649050541304,60,22,0.11851466834319409,CN:WIND,0.3337495988006008,OM:PV,0.17162075918199438,Asia-Pacific,Asia,PH:WIND,0.11857659287641983
AE,L1,W3,L1_W3,0.08791966620868831,60,22,0.1371962564752007,CN:WIND,0.33255570405737184,OM:PV,0.17750281257938127,Asia-Pacific,Asia,PH:WIND,0.1225972607978412
AE,L2,W0,L2_W0,0.1374298888942387,60,23,0.0,CN:WIND,0.3315876075962547,OM:PV,0.14981332811163725,Asia-Pacific,Asia,PH:WIND,0.12085809482999799
AE,L2,W1,L2_W1,0.11716543605151382,60,24,0.05452865350980722,CN:WIND,0.33394484616338194,OM:PV,0.15619558174406403,Asia-Pacific,Asia,PH:WIND,0.1191075859543295
AE,L2,W2,L2_W2,0.09447649050541304,60,22,0.11851466834319409,CN:WIND,0.3337495988006008,OM:PV,0.17162075918199438,Asia-Pacific,Asia,PH:WIND,0.11857659287641983
AE,L2,W3,L2_W3,0.08791966620868831,60,22,0.1371962564752007,CN:WIND,0.33255570405737184,OM:PV,0.17750281257938127,Asia-Pacific,Asia,PH:WIND,0.1225972607978412
AE,L3,W0,L3_W0,0.0666037672301277,210,76,0.0,CL:PV,0.06554493410795752,PE:PV,0.06221800095941295,Asia-Pacific,Asia,IN:PV,0.0619291801538176
AE,L3,W1,L3_W1,0.052994024283839154,210,71,0.04689709118064839,IN:PV,0.06723408761550613,PE:PV,0.06699180014658256,Asia-Pacific,Asia,CL:PV,0.06504497763317636
AE,L3,W2,L3_W2,0.04817819637709095,210,64,0.06619483502613106,CL:PV,0.07146220361842211,PE:PV,0.06737325940580183,Asia-Pacific,Asia,IN:PV,0.06432692420477
AE,L3,W3,L3_W3,0.048059621781770936,210,64,0.06660376723012772,CL:PV,0.07180932603218403,PE:PV,0.06778312862604009,Asia-Pacific,Asia,IN:PV,0.06381496812955659
AF,L0,W0,L0_W0,0.3269218668292715,2,2,0.0,AF:PV,0.6097164477289715,AF:WIND,0.3902835522710287,Asia-Pacific,Asia,,
AF,L0,W1,L0_W1,0.3039127231248755,2,2,0.050612366580309466,AF:PV,0.6182477860638884,AF:WIND,0.38175221393611153,Asia-Pacific,Asia,,
AF,L0,W2,L0_W2,0.26076860916959693,2,2,0.14003554515853275,AF:PV,0.6354643716482974,AF:WIND,0.36453562835170283,Asia-Pacific,Asia,,
AF,L0,W3,L0_W3,0.20602714304968603,2,2,0.24570044518323333,AF:PV,0.6526242049497032,AF:WIND,0.34737579505029703,Asia-Pacific,Asia,,
AF,L1,W0,L1_W0,0.16633698873514782,60,27,0.0,CN:WIND,0.28851396503150156,IN:WIND,0.11476110664565362,Asia-Pacific,Asia,IN:PV,0.06458059058151208
AF,L1,W1,L1_W1,0.14641392496477007,60,27,0.05933862766620684,CN:WIND,0.29013314200653295,IN:WIND,0.11024337967482802,Asia-Pacific,Asia,IN:PV,0.07011649577238341
AF,L1,W2,L1_W2,0.120935889735304,60,28,0.1354021010343253,CN:WIND,0.28770362331482635,IN:WIND,0.11408559993876291,Asia-Pacific,Asia,IN:PV,0.07531609309311994
AF,L1,W3,L1_W3,0.11036841568575607,60,28,0.16571049924131334,CN:WIND,0.2849361352027915,IN:WIND,0.12356618753150524,Asia-Pacific,Asia,IN:PV,0.07338369011708303
AF,L2,W0,L2_W0,0.16633698873514782,60,27,0.0,CN:WIND,0.28851396503150156,IN:WIND,0.11476110664565362,Asia-Pacific,Asia,IN:PV,0.06458059058151208
AF,L2,W1,L2_W1,0.14641392496477007,60,27,0.05933862766620684,CN:WIND,0.29013314200653295,IN:WIND,0.11024337967482802,Asia-Pacific,Asia,IN:PV,0.07011649577238341
AF,L2,W2,L2_W2,0.120935889735304,60,28,0.1354021010343253,CN:WIND,0.28770362331482635,IN:WIND,0.11408559993876291,Asia-Pacific,Asia,IN:PV,0.07531609309311994
AF,L2,W3,L2_W3,0.11036841568575607,60,28,0.16571049924131334,CN:WIND,0.2849361352027915,IN:WIND,0.12356618753150524,Asia-Pacific,Asia,IN:PV,0.07338369011708303
