iso2,wacc,nom,n,yr,source
AE,0.032,0.052000000000000005,8.0,2017.0,Steffen2025
AR,0.073,0.09300000000000001,1.0,2020.0,Steffen2025
AT,0.041,0.0611,3.0,2020.0,Steffen2025
AU,0.03,0.0502,2.0,2020.0,Steffen2025
BE,0.03,0.037200000000000004,1.0,2019.0,Steffen2025
BG,0.035,0.055,3.0,2020.0,Steffen2025
BR,0.062,0.08199999999999999,7.0,2022.0,Steffen2025
CH,0.03,0.0397,1.0,2017.0,Steffen2025
CL,0.035,0.055,6.0,2020.0,Steffen2025
CN,0.04,0.06,15.0,2020.0,Steffen2025
CO,0.04,0.0596,1.0,2020.0,Steffen2025
CR,0.048,0.0679,1.0,2020.0,Steffen2025
CY,0.031,0.051000000000000004,2.0,2019.0,Steffen2025
CZ,0.037,0.057499999999999996,4.0,2019.0,Steffen2025
DE,0.03,0.021,17.0,2020.0,Steffen2025
DK,0.03,0.032549999999999996,6.0,2020.0,Steffen2025
EE,0.056,0.07635,2.0,2019.0,Steffen2025
EG,0.077,0.0971,1.0,2020.0,Steffen2025
ES,0.032,0.051699999999999996,7.0,2020.0,Steffen2025
FI,0.03,0.04,3.0,2020.0,Steffen2025
FR,0.03,0.037000000000000005,13.0,2020.0,Steffen2025
GB,0.03,0.04475,10.0,2022.0,Steffen2025
GR,0.042,0.062,10.0,2020.0,Steffen2025
GT,0.082,0.1015,2.0,2014.0,Steffen2025
HR,0.04,0.059699999999999996,3.0,2020.0,Steffen2025
HU,0.036,0.05575000000000001,4.0,2020.0,Steffen2025
ID,0.072,0.0925,3.0,2022.0,Steffen2025
IE,0.052,0.0717,4.0,2020.0,Steffen2025
IN,0.082,0.10200000000000001,22.0,2022.0,Steffen2025
IT,0.03,0.045450000000000004,6.0,2020.0,Steffen2025
JM,0.03,0.0455,2.0,2016.0,Steffen2025
JO,0.043,0.063,4.0,2020.0,Steffen2025
KE,0.052,0.0716,3.0,2022.0,Steffen2025
KH,0.08,0.1,1.0,2016.0,Steffen2025
LT,0.06,0.08,3.0,2019.0,Steffen2025
LV,0.086,0.1059,4.0,2019.0,Steffen2025
MA,0.036,0.0555,3.0,2020.0,Steffen2025
MX,0.067,0.0875,7.0,2022.0,Steffen2025
MY,0.058,0.07805000000000001,2.0,2020.0,Steffen2025
NL,0.03,0.0483,7.0,2020.0,Steffen2025
NO,0.03,0.0487,2.0,2020.0,Steffen2025
PE,0.03,0.043,5.0,2020.0,Steffen2025
PK,0.044,0.0644,1.0,2020.0,Steffen2025
PL,0.03,0.0502,4.0,2020.0,Steffen2025
PT,0.033,0.0527,5.0,2020.0,Steffen2025
RO,0.057,0.0775,5.0,2020.0,Steffen2025
SA,0.03,0.042,1.0,2017.0,Steffen2025
SE,0.03,0.04655,6.0,2020.0,Steffen2025
SG,0.035,0.0546,1.0,2020.0,Steffen2025
SI,0.03,0.045,1.0,2018.0,Steffen2025
SK,0.035,0.055,2.0,2019.0,Steffen2025
SN,0.07,0.09,1.0,2022.0,Steffen2025
SV,0.039,0.0585,2.0,2014.0,Steffen2025
TH,0.095,0.115,1.0,2016.0,Steffen2025
TN,0.088,0.1075,1.0,2020.0,Steffen2025
TR,0.052,0.0719,1.0,2020.0,Steffen2025
UA,0.119,0.1385,4.0,2020.0,Steffen2025
UG,0.06,0.0797,1.0,2020.0,Steffen2025
US,0.034,0.054000000000000006,9.0,2020.0,Steffen2025
UY,0.03,0.042,1.0,2020.0,Steffen2025
VN,0.063,0.0833,4.0,2022.0,Steffen2025
YE,0.076,0.0964,1.0,2020.0,Steffen2025
ZA,0.06,0.0795,8.0,2022.0,Steffen2025
ZM,0.03,0.0485,2.0,2016.0,Steffen2025
xxx,0.067,0.0875,2.0,2009.0,Steffen2025
