country,year,scenario,power_scope,workload_scenario,ob_usd_yr,foreign_energy_share,mean_import_km,lcoe_gen,lcoe_tx,lcoe_store,lcoe_anc,lcoe_elec,lcoe_dc,lcoe_it
AE,2025,L0_W0,L0,W0,1.1,0.0,0.0,101.76653724048028,0.0,60.09948485734104,3.3000000000000007,165.1660220978213,168.3564479795399,775.1423154505775
AE,2025,L0_W1,L0,W1,1.1,0.0,0.0,101.76653724048032,0.0,57.29013116667607,3.300000000000001,162.35666840715638,168.3564479795399,775.1423154505775
AE,2025,L0_W2,L0,W2,1.1,0.0,0.0,101.76653724048028,0.0,50.35112297739272,3.3000000000000007,155.417660217873,168.3564479795399,775.1423154505775
AE,2025,L0_W3,L0,W3,1.1,0.0,0.0,101.76653724048028,0.0,36.40564603579632,3.3000000000000007,141.4721832762766,168.3564479795399,775.1423154505775
AE,2025,L1_W0,L1,W0,1.1,0.9020931687812286,959.590301584667,76.3152483206791,31.53657624247136,43.831037742693944,3.468595264305203,155.1514575701496,168.3564479795399,775.1423154505775
AE,2025,L1_W1,L1,W1,1.1,0.9024386736806624,959.0976966684296,76.58367863005259,31.66898692621635,39.88595186473061,3.468597060007342,151.60721448100688,168.3564479795399,775.1423154505775
AE,2025,L1_W2,L1,W2,1.1,0.9062300199974606,956.0698371691492,77.39598783467258,32.08850093899586,30.43179593709162,3.4689045312712667,143.38518924203132,168.3564479795399,775.1423154505775
AE,2025,L1_W3,L1,W3,1.1,0.9153529215681716,950.43673181779,78.48872928999671,32.809049900087444,13.38242081413416,3.4698455570732545,128.15004556129156,168.3564479795399,775.1423154505775
AE,2025,L2_W0,L2,W0,1.1,0.9502900649275776,2103.655121031925,87.2378458780328,64.57389991990657,25.339066146648435,3.6435504012187545,180.79436234580655,168.3564479795399,775.1423154505775
AE,2025,L2_W1,L2,W1,1.1,0.95113713764762,2103.351036106152,87.76941652478496,64.93367018305108,21.72816371458032,3.643824337670002,178.07507476008635,168.3564479795399,775.1423154505775
AE,2025,L2_W2,L2,W2,1.1,0.9544725984881852,2103.890914184314,88.7140964004509,66.10378082914472,13.06070277956032,3.6451459200805507,171.52372592923652,168.3564479795399,775.1423154505775
AE,2025,L2_W3,L2,W3,1.1,0.957102852507282,2101.910268791348,89.2747469255237,66.88934368879228,5.174192734607699,3.645835438250454,164.9841187871741,168.3564479795399,775.1423154505775
AE,2025,L3_W0,L3,W0,1.1,1.000000000000001,8084.868818530689,129.26869384634702,432.0073068069896,5.964563450748458,5.3327941871585685,572.5733582912436,168.3564479795399,775.1423154505775
AE,2025,L3_W1,L3,W1,1.1,1.0000000000000018,8015.372212902217,129.56285615201577,421.53042453157593,5.061644034406478,5.303533179367794,561.4584578973661,168.3564479795399,775.1423154505775
AE,2025,L3_W2,L3,W2,1.1,1.000000000000001,7946.145893193809,129.6799442697984,417.3271539062683,1.3317543215420744,5.2817769329597715,553.6206294305686,168.3564479795399,775.1423154505775
AE,2025,L3_W3,L3,W3,1.1,1.000000000000001,7942.468994374378,129.59856463029934,417.2202102029904,1.1589786402424267,5.280935555343788,553.2586890288759,168.3564479795399,775.1423154505775
AF,2025,L0_W0,L0,W0,1.1,0.0,0.0,170.73054753884284,0.0,66.80576210463853,3.300000000000001,240.8363096434814,168.3564479795399,775.1423154505775
AF,2025,L0_W1,L0,W1,1.1,0.0,0.0,170.73054753884279,0.0,63.64668368501917,3.3000000000000007,237.67723122386195,168.3564479795399,775.1423154505775
AF,2025,L0_W2,L0,W2,1.1,0.0,0.0,170.73054753884284,0.0,55.7914000718687,3.300000000000001,229.82194761071153,168.3564479795399,775.1423154505775
AF,2025,L0_W3,L0,W3,1.1,0.0,0.0,170.73054753884279,0.0,40.264910704800194,3.3000000000000007,214.29545824364297,168.3564479795399,775.1423154505775
AF,2025,L1_W0,L1,W0,1.1,0.8626916972965964,1038.3348581959422,91.79249190237203,35.71542268573363,38.63346115194279,3.470994271546778,169.61237001159523,168.3564479795399,775.1423154505775
AF,2025,L1_W1,L1,W1,1.1,0.8656399476384573,1040.276235680703,91.7586490624328,35.91148066299062,35.658103684620926,3.471821000888473,166.8000544109328,168.3564479795399,775.1423154505775
AF,2025,L1_W2,L1,W2,1.1,0.8591276526023087,1045.1891632848046,91.72987425609328,35.99929152643833,26.517868239443125,3.471137555685507,157.71817157766026,168.3564479795399,775.1423154505775
AF,2025,L1_W3,L1,W3,1.1,0.8480566611170168,1052.232269388413,92.07821012706201,35.867658775257134,13.848343819472678,3.4697877608919017,145.2640004826837,168.3564479795399,775.1423154505775
