year,Conservative,Moderate,Advanced
2022,481.68,481.68,481.68
2023,476.74,476.74,476.74
2024,503.09,442.47,393.58
2025,495.95,387.77,310.43
2026,477.38,375.22,297.25
2027,458.8,362.68,284.08
2028,440.23,350.13,270.9
2029,421.66,337.59,257.72
2030,403.09,325.04,244.55
2031,400.33,320.03,240.26
2032,397.57,315.01,235.97
2033,394.81,310.0,231.68
2034,392.05,304.99,227.39
2035,389.29,299.97,223.11
2036,386.53,294.96,218.82
2037,383.77,289.95,214.53
2038,381.01,284.94,210.24
2039,378.25,279.93,205.96
2040,375.49,274.91,201.66
2041,372.73,269.9,197.38
2042,369.97,264.89,193.09
2043,367.21,259.88,188.81
2044,364.45,254.87,184.51
2045,361.69,249.86,180.23
2046,358.93,244.85,175.94
2047,356.17,239.84,171.65
2048,353.41,234.83,167.36
2049,350.65,229.82,163.07
2050,347.89,224.81,158.79
