country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,region,continent,top2_label,top2_weight,top3_label,top3_weight
AE,L0,W0,L0_W0,0.5016482663887235,1,1,0.0,AE:VRE,1.0000000000000002,Asia-Pacific,Asia,,,,
AE,L0,W1,L0_W1,0.476300973567643,1,1,0.05673637630633432,AE:VRE,0.9999999999999998,Asia-Pacific,Asia,,,,
AE,L0,W2,L0_W2,0.41961424497817046,1,1,0.1660573736866957,AE:VRE,1.0,Asia-Pacific,Asia,,,,
AE,L0,W3,L0_W3,0.31875310021579206,1,1,0.31891308651085154,AE:VRE,0.9999999999999999,Asia-Pacific,Asia,,,,
AE,L1,W0,L1_W0,0.20088360843374614,14,8,0.0,OM:PV,0.30289317636903806,Asia-Pacific,Asia,PK:WIND,0.19015164729094047,OM:WIND,0.16248566232234468
AE,L1,W1,L1_W1,0.17827046178507278,14,8,0.05463215551661299,OM:PV,0.30502857618260326,Asia-Pacific,Asia,PK:WIND,0.18897002768269539,OM:WIND,0.15988067723556154
AE,L1,W2,L1_W2,0.1453731694549982,14,8,0.1343459657992995,OM:PV,0.31525342206703005,Asia-Pacific,Asia,PK:WIND,0.1809064656258738,OM:WIND,0.15568121205330104
AE,L1,W3,L1_W3,0.12250177889504685,14,8,0.19051634219363936,OM:PV,0.33477934130219095,Asia-Pacific,Asia,PK:WIND,0.16598116124591006,OM:WIND,0.15372922868419372
AE,L2,W0,L2_W0,0.15142808788099318,38,17,0.0,ET:WIND,0.19269068751339366,Asia-Pacific,Asia,ET:PV,0.18766609550686952,OM:WIND,0.07965401228712901
AE,L2,W1,L2_W1,0.13083527338358897,38,18,0.05566467113012774,ET:PV,0.19359153718830394,Asia-Pacific,Asia,ET:WIND,0.1912005275305036,OM:WIND,0.0788436965352649
AE,L2,W2,L2_W2,0.10620253272804385,38,19,0.12491165333274812,ET:PV,0.21227765101103224,Asia-Pacific,Asia,ET:WIND,0.18642207757552587,UA:WIND,0.07980100752596496
AE,L2,W3,L2_W3,0.09712375137934695,38,17,0.15077604727049457,ET:PV,0.22301294660357737,Asia-Pacific,Asia,ET:WIND,0.18400876177815023,UA:WIND,0.08175615222946585
AE,L3,W0,L3_W0,0.0666037672301277,210,76,0.0,CL:PV,0.06554493410795752,Asia-Pacific,Asia,PE:PV,0.06221800095941295,IN:PV,0.0619291801538176
AE,L3,W1,L3_W1,0.052994024283839154,210,71,0.04689709118064839,IN:PV,0.06723408761550613,Asia-Pacific,Asia,PE:PV,0.06699180014658256,CL:PV,0.06504497763317636
AE,L3,W2,L3_W2,0.04817819637709095,210,64,0.06619483502613106,CL:PV,0.07146220361842211,Asia-Pacific,Asia,PE:PV,0.06737325940580183,IN:PV,0.06432692420477
AE,L3,W3,L3_W3,0.048059621781770936,210,64,0.06660376723012772,CL:PV,0.07180932603218403,Asia-Pacific,Asia,PE:PV,0.06778312862604009,IN:PV,0.06381496812955659
AF,L0,W0,L0_W0,0.4951124568842826,1,1,0.0,AF:VRE,1.0,Asia-Pacific,Asia,,,,
AF,L0,W1,L0_W1,0.4697566563583692,1,1,0.05581577354191103,AF:VRE,0.9999999999999998,Asia-Pacific,Asia,,,,
AF,L0,W2,L0_W2,0.4136103785578133,1,1,0.16268326153881235,AF:VRE,0.9999999999999999,Asia-Pacific,Asia,,,,
AF,L0,W3,L0_W3,0.31302715665276565,1,1,0.3146833879956163,AF:VRE,0.9999999999999999,Asia-Pacific,Asia,,,,
AF,L1,W0,L1_W0,0.21094736436389777,12,10,0.0,PK:WIND,0.2599154764480483,Asia-Pacific,Asia,IR:WIND,0.15578854300275624,AF:PV,0.09945546685137437
AF,L1,W1,L1_W1,0.189286742854501,12,9,0.05662421339762463,PK:WIND,0.2599032017139956,Asia-Pacific,Asia,IR:WIND,0.15562021238665108,AE:PV,0.10292975872286939
AF,L1,W2,L1_W2,0.1580814758748217,12,10,0.1397414566791992,PK:WIND,0.2559929875621896,Asia-Pacific,Asia,IR:WIND,0.15547440975449567,AE:PV,0.10978735404308204
AF,L1,W3,L1_W3,0.13646372025347586,12,10,0.19771799544040758,PK:WIND,0.2438323835502911,Asia-Pacific,Asia,IR:WIND,0.15948673969485727,PK:PV,0.11109365424381891
AF,L2,W0,L2_W0,0.18022939114145473,34,23,0.0,IN:WIND,0.15838255649150265,Asia-Pacific,Asia,JO:WIND,0.08884689176706612,OM:WIND,0.08563542486605753
AF,L2,W1,L2_W1,0.15964648203979123,34,22,0.058196410138924175,IN:WIND,0.1532013827386147,Asia-Pacific,Asia,JO:WIND,0.08609302461527028,PK:WIND,0.08566659545541347
AF,L2,W2,L2_W2,0.13194852109374422,34,20,0.1381315101454004,IN:WIND,0.1503782949637744,Asia-Pacific,Asia,PK:WIND,0.08785115221777909,OM:WIND,0.08309748817342937
AF,L2,W3,L2_W3,0.11804814459222239,34,20,0.1780582908653073,IN:WIND,0.14995772277142558,Asia-Pacific,Asia,PK:WIND,0.08761571402837783,OM:WIND,0.08035436693737331
AF,L3,W0,L3_W0,0.10929168874013072,210,57,0.0,CV:PV,0.11505517437978774,Asia-Pacific,Asia,CN:PV,0.10480729443657587,AE:PV,0.051210990353327865
AF,L3,W1,L3_W1,0.09213094051389258,210,61,0.05563935624298998,CV:PV,0.11280367948509536,Asia-Pacific,Asia,CN:PV,0.10621160466696764,AE:PV,0.049458605185591045
AF,L3,W2,L3_W2,0.07843495691886497,210,58,0.10578059335714034,CV:PV,0.1173153498264814,Asia-Pacific,Asia,CN:PV,0.09803157629518747,AE:PV,0.054676859679603375
AF,L3,W3,L3_W3,0.07727272420111114,210,57,0.10922678210393144,CV:PV,0.1198835155948869,Asia-Pacific,Asia,CN:PV,0.09606562086626634,AE:PV,0.056318430491198716
AR,L0,W0,L0_W0,0.28088161934412065,1,1,0.0,AR:VRE,1.0000000000000002,Latin America,Americas,,,,
AR,L0,W1,L0_W1,0.25739176605014474,1,1,0.054857103860708266,AR:VRE,1.0,Latin America,Americas,,,,
AR,L0,W2,L0_W2,0.21627675766830665,1,1,0.1470442816280271,AR:VRE,0.9999999999999999,Latin America,Americas,,,,
AR,L0,W3,L0_W3,0.17467607731605428,1,1,0.2367028573254291,AR:VRE,1.0,Latin America,Americas,,,,
AR,L1,W0,L1_W0,0.18118658447258496,12,9,0.0,PE:WIND,0.2703076122013312,Latin America,Americas,UY:WIND,0.17008608825124724,AR:WIND,0.13630381271430161
AR,L1,W1,L1_W1,0.1589392927781479,12,9,0.054082219455161895,PE:WIND,0.26831523594756,Latin America,Americas,UY:WIND,0.16774958365846987,AR:WIND,0.13508075604398234
AR,L1,W2,L1_W2,0.1281392157104602,12,10,0.1307404357546854,PE:WIND,0.2585189694309279,Latin America,Americas,UY:WIND,0.16084847209823475,AR:WIND,0.13420522814998517
AR,L1,W3,L1_W3,0.11037376380887559,12,10,0.17622838822038717,PE:WIND,0.24647843217454585,Latin America,Americas,UY:WIND,0.15414064842450953,AR:WIND,0.13391292725107357
AR,L2,W0,L2_W0,0.18118658447258496,12,9,0.0,PE:WIND,0.2703076122013312,Latin America,Americas,UY:WIND,0.17008608825124724,AR:WIND,0.13630381271430161
AR,L2,W1,L2_W1,0.1589392927781479,12,9,0.054082219455161895,PE:WIND,0.26831523594756,Latin America,Americas,UY:WIND,0.16774958365846987,AR:WIND,0.13508075604398234
AR,L2,W2,L2_W2,0.1281392157104602,12,10,0.1307404357546854,PE:WIND,0.2585189694309279,Latin America,Americas,UY:WIND,0.16084847209823475,AR:WIND,0.13420522814998517
AR,L2,W3,L2_W3,0.11037376380887559,12,10,0.17622838822038717,PE:WIND,0.24647843217454585,Latin America,Americas,UY:WIND,0.15414064842450953,AR:WIND,0.13391292725107357
AR,L3,W0,L3_W0,0.07623959017569981,210,52,0.0,US:PV,0.17700445645711774,Latin America,Americas,FJ:PV,0.1446776781701244,CV:PV,0.05851961173270456
AR,L3,W1,L3_W1,0.057757259026263115,210,54,0.045932285545393046,US:PV,0.17546338329298328,Latin America,Americas,FJ:PV,0.14672480858704476,CV:PV,0.0578194235870078
AR,L3,W2,L3_W2,0.04667493883223178,210,56,0.07455640092971158,US:PV,0.17335515407722527,Latin America,Americas,FJ:PV,0.15762080847708365,CV:PV,0.06009893296191562
AR,L3,W3,L3_W3,0.045934063230423004,210,57,0.07621565986801955,US:PV,0.1707375838619878,Latin America,Americas,FJ:PV,0.16104098593074093,CV:PV,0.06075731235654413
AT,L0,W0,L0_W0,0.3339544256663464,1,1,0.0,AT:VRE,1.0,Europe,EurAfrMENA,,,,
AT,L0,W1,L0_W1,0.31027348521238585,1,1,0.05680862963985163,AT:VRE,1.0,Europe,EurAfrMENA,,,,
AT,L0,W2,L0_W2,0.26650215721504056,1,1,0.15607194909228356,AT:VRE,0.9999999999999999,Europe,EurAfrMENA,,,,
