year,grace_h,dist_ring,lcoe_elec
2025,0,D0,161.28768511450153
2025,0,D1,161.07611796812674
2025,0,D2,157.6089455584956
2025,0,D3,128.8434462430552
2025,6,D0,155.57568056879444
2025,6,D1,154.78888125282793
2025,6,D2,148.93793239202094
2025,6,D3,123.65738184143945
2025,24,D0,154.76681669702458
2025,24,D1,154.21242064349042
2025,24,D2,146.54440201876477
2025,24,D3,119.46330732644206
2025,168,D0,151.680912117394
2025,168,D1,151.36508722093055
2025,168,D2,143.63664798627994
2025,168,D3,117.06586563543149
2026,0,D0,156.53936868019306
2026,0,D1,156.37554620041809
2026,0,D2,153.48418800875714
2026,0,D3,125.35237627623013
2026,6,D0,150.72145599242228
2026,6,D1,150.1307286131161
2026,6,D2,144.49213301349192
2026,6,D3,120.09479741154297
2026,24,D0,150.30212608171706
2026,24,D1,149.80526034601903
2026,24,D2,142.6541512987709
2026,24,D3,116.12185770189072
2026,168,D0,147.50860526419737
2026,168,D1,147.20996648638635
2026,168,D2,139.90378444661923
2026,168,D3,113.91402858629206
2027,0,D0,152.04595811088774
2027,0,D1,151.9529933832187
2027,0,D2,149.2600108816507
2027,0,D3,121.8314224844903
2027,6,D0,145.90514339587736
2027,6,D1,145.4140939016576
2027,6,D2,140.0993430090677
2027,6,D3,116.53658301013093
2027,24,D0,145.90407813125802
2027,24,D1,145.36367905928626
2027,24,D2,138.76775574983895
2027,24,D3,112.86495951481423
2027,168,D0,143.42781369886586
2027,168,D1,143.14532813001293
2027,168,D2,136.24144154185277
2027,168,D3,110.78089467209641
2028,0,D0,147.50696601312274
2028,0,D1,147.43181514030928
2028,0,D2,145.19926100173646
2028,0,D3,118.39211711912911
2028,6,D0,141.17172685203101
2028,6,D1,140.71818158289287
2028,6,D2,135.74516588062588
2028,6,D3,112.93563078907799
2028,24,D0,141.50065548130365
2028,24,D1,141.05208199690006
2028,24,D2,134.96207035962172
2028,24,D3,109.70959910576964
2028,168,D0,139.3860019247618
2028,168,D1,139.15069291985773
2028,168,D2,132.64180048134943
2028,168,D3,107.74935867627178
2029,0,D0,143.1010950079933
2029,0,D1,143.086922078121
2029,0,D2,141.14894931606526
2029,0,D3,114.95947658345904
2029,6,D0,136.41819900423098
2029,6,D1,136.10627638303023
2029,6,D2,131.56372529722947
2029,6,D3,109.4377507705963
2029,24,D0,137.1625560260947
2029,24,D1,136.82432187998398
2029,24,D2,131.20127449755975
2029,24,D3,106.57733574700529
2029,168,D0,135.2513938884213
2029,168,D1,135.1349952356766
2029,168,D2,129.0691890940564
2029,168,D3,104.74339864536576
2030,0,D0,138.57914356502434
2030,0,D1,138.62243754187114
2030,0,D2,137.14104813757734
2030,0,D3,111.547765402913
2030,6,D0,131.76439175174707
