country,tau_ms,phi,tier,year,perturbation,region,ob_star,uncovered_share,lcoe_gen,lcoe_store,lcoe_anc,lcoe_elec,lcoe_gen_floor,ldes_energy_share,P_li,E_li,P_ld,E_ld
AE,50,1.0,t50p100,2025,P_mix,Asia-Pacific,1.927,0.3303548527816178,159.70571612367127,63.28757615501411,5.780334897755169,228.77362717644053,82.88743763913779,0.37,110.3,495.4,66.8,2312.1
AE,100,1.0,t100p100,2025,P_mix,Asia-Pacific,1.764,0.21463371481716137,145.72406881531458,62.5943868146113,5.292869465743524,213.6113250956694,82.59644589298995,0.471,70.7,366.2,90.0,2694.6
AE,150,1.0,t150p100,2025,P_mix,Asia-Pacific,1.655,0.18674634389596168,136.31166154157106,62.82593869046838,4.965513283152752,204.10311351519218,82.3550278300873,0.453,64.6,363.3,80.4,2871.9
AE,200,1.0,t200p100,2025,P_mix,Asia-Pacific,1.677,0.18236261002740708,138.1135017762948,56.601986388230536,5.029886705733298,199.74537487025864,82.37571332503369,0.437,66.9,372.4,79.2,2267.5
AE,300,1.0,t300p100,2025,P_mix,Asia-Pacific,1.68,0.12307425761577748,137.737279158247,44.500343815420756,5.041008493082929,187.27863146675068,81.97007365524847,0.514,60.9,230.5,66.1,1981.3
AE,500,1.0,t500p100,2025,P_mix,Asia-Pacific,1.68,0.12307425761577748,137.737279158247,44.500343815420756,5.041008493082929,187.27863146675068,81.97007365524847,0.514,60.9,230.5,66.1,1981.3
AF,50,1.0,t50p100,2025,P_mix,Asia-Pacific,1.72,0.3306886869534125,183.44299698527402,80.31197238223986,5.159630451418774,268.91459981893263,106.66054403266324,0.214,149.9,748.9,51.3,2774.3
AF,100,1.0,t100p100,2025,P_mix,Asia-Pacific,1.684,0.21784636276822972,177.99756839125467,70.00352149632353,5.051280635406137,253.05237052298432,105.71432151894875,0.166,153.4,792.5,39.6,1765.5
AF,150,1.0,t150p100,2025,P_mix,Asia-Pacific,1.634,0.18874229614958168,171.29325964971648,69.89893139753705,4.903297571000943,246.09548861825448,104.80289468628919,0.132,157.3,781.1,33.9,1862.9
AF,200,1.0,t200p100,2025,P_mix,Asia-Pacific,1.642,0.18903040222336376,172.16807252920373,69.71924627739898,4.92703845844154,246.81435726504426,104.83056341942692,0.12,161.1,807.3,32.1,1735.8
AF,300,1.0,t300p100,2025,P_mix,Asia-Pacific,1.441,0.13561786273230378,149.74916105270768,67.23714134069102,4.321934949735746,221.30823734313446,103.94591505492029,0.283,107.6,473.7,64.2,2815.2
AF,500,1.0,t500p100,2025,P_mix,Asia-Pacific,1.441,0.13561786273230378,149.74916105270768,67.23714134069102,4.321934949735746,221.30823734313446,103.94591505492029,0.283,107.6,473.7,64.2,2815.2
AR,50,1.0,t50p100,2025,P_mix,Latin America,1.774,0.26772102643208007,78.67487865701737,75.39156918447038,5.320786786435072,159.38723462792285,44.358972731772674,0.861,23.7,70.8,144.7,4694.8
AR,100,1.0,t100p100,2025,P_mix,Latin America,1.669,0.192725639197092,73.99471542038371,69.50259420923315,5.006142374897662,148.50345200451454,44.342355777623446,0.767,35.1,124.8,133.1,4012.3
AR,150,1.0,t150p100,2025,P_mix,Latin America,1.657,0.18749663771840433,73.50587882880482,66.19098779579797,4.970917458603616,144.66778408320644,44.361556658870384,0.801,31.6,102.3,131.5,3842.7
AR,200,1.0,t200p100,2025,P_mix,Latin America,1.869,0.13399736163781595,83.971227349007,58.78587005409825,5.607355890715676,148.3644532938209,44.925574006123256,0.738,34.3,111.0,120.5,3251.8
