year,perturbation,scenario,mean_uncovered_share,global_annual_unmet_gwh,global_storage_cost_musd_yr_mid,global_storage_cost_usd_yr_low,global_fleet_gw,ai_share,capex_year_used
2025,P0_baseline,L0_W0,0.39734321059316946,286463.7929907243,41320.78898602746,29372.609038260485,82.3,0.2,2025
2025,P0_baseline,L0_W1,0.3731455927651428,269018.56881284417,38804.41363700919,27583.860296187257,82.3,0.2,2025
2025,P0_baseline,L0_W2,0.32436630348099266,233851.23776201473,33731.72416940814,23977.972602350364,82.3,0.2,2025
2025,P0_baseline,L0_W3,0.25254834848774144,182074.2267455402,26263.181900234744,18669.008820648796,82.3,0.2,2025
2025,P0_baseline,L1_W0,0.22508173020872166,162272.22323051747,23406.854403477337,16638.607347050154,82.3,0.2,2025
2025,P0_baseline,L1_W1,0.20280897593000743,146214.725578787,21090.650791203476,14992.149357602473,82.3,0.2,2025
2025,P0_baseline,L1_W2,0.16825280522617442,121301.52342219999,17497.061672902895,12437.670345798448,82.3,0.2,2025
2025,P0_baseline,L1_W3,0.14014501713543864,101037.26981376024,14574.057203221813,10359.871987832375,82.3,0.2,2025
2025,P0_baseline,L2_W0,0.17660365029293232,127322.04847138897,18365.488508090013,13054.985806955554,82.3,0.2,2025
2025,P0_baseline,L2_W1,0.1552191437350029,111904.93123746288,16141.656164934046,11474.189322061553,82.3,0.2,2025
2025,P0_baseline,L2_W2,0.12603506917848112,90864.7310540876,13106.72577137755,9316.829162786453,82.3,0.2,2025
2025,P0_baseline,L2_W3,0.11026837533171702,79497.76465865072,11467.104879210136,8151.315516546964,82.3,0.2,2025
2025,P0_baseline,L3_W0,0.08309120059047152,59904.43488329927,8640.877394303654,6142.310436914646,82.3,0.2,2025
2025,P0_baseline,L3_W1,0.0664104943945896,47878.513112790584,6906.2059000329855,4909.230700023449,82.3,0.2,2025
2025,P0_baseline,L3_W2,0.05633517435485547,40614.73128078434,5858.4462750300845,4164.437713575603,82.3,0.2,2025
2025,P0_baseline,L3_W3,0.05536684574504488,39916.61670619862,5757.747178912689,4092.856428383719,82.3,0.2,2025
2025,P1_flatten,L0_W0,0.39853710739127285,287324.5304995234,41444.94552463266,29460.864891003945,82.3,0.2,2025
2025,P1_flatten,L0_W1,0.3741792601497664,269763.7892464538,38911.90748802532,27660.27158787342,82.3,0.2,2025
2025,P1_flatten,L0_W2,0.32476429248480154,234138.1671383327,33773.1121161673,24007.39295004664,82.3,0.2,2025
2025,P1_flatten,L0_W3,0.2509504688744646,180922.23863410752,26097.014102308312,18550.889542604706,82.3,0.2,2025
2025,P1_flatten,L1_W0,0.20889339480687943,150601.27519923012,21723.385872138955,15441.924897062632,82.3,0.2,2025
2025,P1_flatten,L1_W1,0.18635355119714347,134351.2200284782,19379.40692208823,13775.722992809706,82.3,0.2,2025
2025,P1_flatten,L1_W2,0.15229145267512267,109794.21822322434,15837.197698609696,11257.767038770748,82.3,0.2,2025
2025,P1_flatten,L1_W3,0.12547788410489383,90463.02958965501,13048.782597219639,9275.640641397094,82.3,0.2,2025
2025,P1_flatten,L2_W0,0.1546896617057055,111523.20222740497,16086.593904849546,11435.04867935088,82.3,0.2,2025
2025,P1_flatten,L2_W1,0.13311934256874386,95972.12378625076,13843.438411921681,9840.516461486495,82.3,0.2,2025
2025,P1_flatten,L2_W2,0.10558349666912295,76120.21075661086,10979.911748734336,7804.997508136456,82.3,0.2,2025
2025,P1_flatten,L2_W3,0.09253881358864838,66715.67257910887,9623.360076055122,6840.701740810268,82.3,0.2,2025
2025,P1_flatten,L3_W0,0.06560007905126068,47294.2457918483,6821.9286291498565,4849.3227604800195,82.3,0.2,2025
2025,P1_flatten,L3_W1,0.049787243184203515,35894.01339916515,5177.509304209243,3680.3981801005457,82.3,0.2,2025
2025,P1_flatten,L3_W2,0.04266923829152618,30762.30200779922,4437.288834019869,3154.2173639418347,82.3,0.2,2025
2025,P1_flatten,L3_W3,0.04223469670715355,30449.02012162894,4392.09968611242,3122.0949575979857,82.3,0.2,2025
2025,P2_sharpen,L0_W0,0.405160331111087,292099.53039387596,42133.712370114015,29950.470238996713,82.3,0.2,2025
2025,P2_sharpen,L0_W1,0.380995972884732,274678.28465930175,39620.79577651372,28164.180130292887,82.3,0.2,2025
2025,P2_sharpen,L0_W2,0.3318906961384336,239275.9335996114,34514.2059960939,24534.1946237294,82.3,0.2,2025
2025,P2_sharpen,L0_W3,0.2588379679611235,186608.7153256361,26917.25634301698,19133.95330407231,82.3,0.2,2025
2025,P2_sharpen,L1_W0,0.22844971325817007,164700.36387405123,23757.100017809138,16887.577121093243,82.3,0.2,2025
2025,P2_sharpen,L1_W1,0.20596469764876954,148489.8368404851,21418.822778954145,15225.428240461382,82.3,0.2,2025
2025,P2_sharpen,L1_W2,0.170390484403181,122842.67894950452,17719.364679064878,12595.69296463648,82.3,0.2,2025
2025,P2_sharpen,L1_W3,0.14092941815812768,101602.78216226582,14655.629174945127,10417.856883394728,82.3,0.2,2025
2025,P2_sharpen,L2_W0,0.1769764550888285,127590.82134338073,18404.25748134416,13082.544474690429,82.3,0.2,2025
2025,P2_sharpen,L2_W1,0.155311173756266,111971.28009723246,16151.226614327948,11480.992412594567,82.3,0.2,2025
2025,P2_sharpen,L2_W2,0.12518675996435208,90253.1442227797,13018.507814967521,9254.120013049202,82.3,0.2,2025
2025,P2_sharpen,L2_W3,0.10875872819241592,78409.38757286587,11310.112613523006,8039.718604793463,82.3,0.2,2025
2025,P2_sharpen,L3_W0,0.06837729315076704,49296.4727424592,7110.738591709452,5054.62140856455,82.3,0.2,2025
2025,P2_sharpen,L3_W1,0.05235914594780052,37748.22155277489,5444.968388834155,3870.519698086929,82.3,0.2,2025
2025,P2_sharpen,L3_W2,0.044549519896292716,32117.88727019244,4632.824374463309,3293.2125071486175,82.3,0.2,2025
2025,P2_sharpen,L3_W3,0.043990084996063834,31714.56379774223,4574.64723478281,3251.8576729179017,82.3,0.2,2025
2025,P2_emp,L0_W0,0.40058752010690135,288802.7714460303,41658.17345680312,29612.436553631134,82.3,0.2,2025
2025,P2_emp,L0_W1,0.37627628694049126,271275.63651717326,39129.9829432174,27815.28908011839,82.3,0.2,2025
2025,P2_emp,L0_W2,0.3268913279239267,235671.6490840991,33994.30825140436,24164.628757022376,82.3,0.2,2025
2025,P2_emp,L0_W3,0.2531071938366505,182477.12518214548,26321.297730888098,18710.320073763833,82.3,0.2,2025
2025,P2_emp,L1_W0,0.2134717563997363,153902.0358328771,22199.50200609215,15780.368895896832,82.3,0.2,2025
2025,P2_emp,L1_W1,0.19093377724290125,137653.32483571515,19855.71694551239,14114.304816689531,82.3,0.2,2025
2025,P2_emp,L1_W2,0.15651026542252636,112835.76283583955,16275.923381242583,11569.632283051957,82.3,0.2,2025
2025,P2_emp,L1_W3,0.12909261535104216,93069.06285210316,13424.68822006977,9542.850662459234,82.3,0.2,2025
2025,P2_emp,L2_W0,0.15998090921685384,115337.91653807233,16636.844962504743,11826.190997443133,82.3,0.2,2025
2025,P2_emp,L2_W1,0.13836199801642624,99751.80574594645,14388.636250225587,10228.06673208807,82.3,0.2,2025
2025,P2_emp,L2_W2,0.11015715675641193,79417.58184922168,11455.538960480462,8143.093959859608,82.3,0.2,2025
2025,P2_emp,L2_W3,0.09635653920167637,69468.05422437018,10020.375628999855,7122.917615795078,82.3,0.2,2025
2025,P2_emp,L3_W0,0.06599804946602855,47581.16176643435,6863.314642784658,4878.741734027648,82.3,0.2,2025
2025,P2_emp,L3_W1,0.05017243368274939,36171.7157187108,5217.566299988976,3708.8724301126467,82.3,0.2,2025
2025,P2_emp,L3_W2,0.042955764419464734,30968.872446684265,4467.085456576621,3175.398095638803,82.3,0.2,2025
2025,P2_emp,L3_W3,0.04250448194731225,30643.52125095088,4420.155378730146,3142.03816078408,82.3,0.2,2025
2025,P3_burst,L0_W0,0.400742961390899,288914.83652884583,41674.338213931325,29623.927164119865,82.3,0.2,2025
2025,P3_burst,L0_W1,0.3765019711072552,271438.34306583344,39153.4524466183,27831.97222109012,82.3,0.2,2025
2025,P3_burst,L0_W2,0.3274404433599365,236067.5327594595,34051.4122422501,24205.22075051514,82.3,0.2,2025
2025,P3_burst,L0_W3,0.2546444358030365,183585.39670332757,26481.159656850486,18823.956864508178,82.3,0.2,2025
2025,P3_burst,L1_W0,0.22339458864014064,161055.88189093213,23231.404014779815,16513.88960086758,82.3,0.2,2025
2025,P3_burst,L1_W1,0.2009035910467537,144841.042157975,20892.50469332361,14851.298516940882,82.3,0.2,2025
2025,P3_burst,L1_W2,0.1660047295849106,119680.77778478213,17263.278241549895,12271.48694278848,82.3,0.2,2025
2025,P3_burst,L1_W3,0.1370997133019304,98841.76410560012,14257.367868289211,10134.755472639321,82.3,0.2,2025
2025,P3_burst,L2_W0,0.17331538257769155,124951.37843862157,18023.532705729143,12811.90879081951,82.3,0.2,2025
2025,P3_burst,L2_W1,0.15169207483548697,109362.09796849465,15774.866785247626,11213.459522043495,82.3,0.2,2025
2025,P3_burst,L2_W2,0.12247139959964137,88295.51059856225,12736.130188623447,9053.393748539558,82.3,0.2,2025
2025,P3_burst,L2_W3,0.10616421302113929,76538.87704916434,11040.30200381528,7847.925520784357,82.3,0.2,2025
2025,P3_burst,L3_W0,0.08203818608095854,59145.266178694896,8531.371583742915,6064.468957118459,82.3,0.2,2025
