year,lambda,lambda_inf,lambda_train,country,region,continent,perturbation,scenario,uncovered_share,annual_unmet_mwh_per_100mw,storage_cost_usd_yr_per_100mw_mid,storage_cost_usd_yr_per_100mw_low
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L0_W0,0.5016482663887235,439443.8813565218,63387305.2617218,45058445.90893477
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L0_W1,0.476300973567643,417239.6528452553,60184470.33681634,42781731.92617065
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L0_W2,0.41961424497817046,367582.0786008773,53021644.88691254,37690084.919612534
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L0_W3,0.31875310021579206,279227.71578903386,40277025.59793556,28630656.750339735
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L1_W0,0.20088360843374614,175974.04098796163,25383264.456452817,18043525.33651465
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L1_W1,0.17827046178507278,156164.92452372375,22525910.956826005,16012394.535575112
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L1_W2,0.1453731694549982,127346.89644257842,18369072.688008636,13057533.597500114
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L1_W3,0.12250177889504685,107311.55831206104,15479087.98693465,11003207.123242702
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L2_W0,0.15142808788099318,132651.00498375003,19134160.47624383,13601391.181908265
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L2_W1,0.13083527338358897,114611.69948402393,16532092.2419773,11751728.220200732
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L2_W2,0.10620253272804385,93033.41866976641,13419546.747489447,9539195.880745513
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L2_W3,0.09712375137934695,85080.40620830793,12272369.485426826,8723732.525785336
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L3_W0,0.0666037672301277,58344.90009359187,8415923.28303852,5982403.297581598
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L3_W1,0.052994024283839154,46422.765272643104,6696222.471790287,4759965.371513578
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L3_W2,0.04817819637709095,42204.100026331675,6087703.766422288,4327403.882155603
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L3_W3,0.048059621781770936,42100.22868083134,6072720.9097607015,4316753.417781704
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L0_W0,0.5144807721303924,450685.15638622374,65008795.882183045,46211071.77167229
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L0_W1,0.48915753756998054,428502.00291130296,61809000.9125914,43936518.720998704
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L0_W2,0.43198805078842273,378421.53249065834,54585175.07070061,38801509.9900161
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L0_W3,0.32888620911491573,288104.31918466615,41557425.65126953,29540820.643673528
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L1_W0,0.1862689257819975,163171.5789850298,23536581.406557184,16730822.927552698
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L1_W1,0.16349649160022967,143222.92664180117,20659100.642149154,14685384.793816874
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L1_W2,0.13088653823544702,114656.60749425158,16538569.969563833,11756332.86993092
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L1_W3,0.10948357288134841,95907.60984406121,13834132.639055798,9833901.514509544
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L2_W0,0.13261728464309788,116172.74134735373,16757263.74012574,11911789.887559261
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L2_W1,0.1118959947625265,98020.89141197322,14138961.604783349,10050587.164845996
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L2_W2,0.08913742914005426,78084.38792668753,11263233.244720178,8006394.7161263935
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L2_W3,0.08219677006104369,72004.37057347427,10386224.97969436,7382979.202433341
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L3_W0,0.05310934470292066,46523.7859597585,6710794.137032651,4770323.543191885
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L3_W1,0.04017094343486378,35189.74644894067,5075922.762551598,3608186.06012704
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L3_W2,0.036974601641777405,32389.751038197006,4672039.19206166,3321088.10038118
