year,storage_scenario,country,country_bill_musd,tech
2025,Conservative,AE,513.1568817496343,LDES
2025,Conservative,AF,564.5838109129248,LDES
2025,Conservative,AR,547.0585851742389,LDES
2025,Conservative,AT,548.8523103780833,LDES
2025,Conservative,AU,413.65804363700204,LDES
2025,Conservative,BD,550.5923396800779,LDES
2025,Conservative,BE,470.14981855310197,LDES
2025,Conservative,BF,581.5920277706764,LDES
2025,Conservative,BG,537.8441984139865,LDES
2025,Conservative,BH,570.2116510587132,LDES
2025,Conservative,BI,534.3970196153587,LDES
2025,Conservative,BO,525.0225520719488,LDES
2025,Conservative,BR,386.1795549391684,LDES
2025,Conservative,BY,586.3217851444239,LDES
2025,Conservative,CA,537.8007933506312,LDES
2025,Conservative,CH,900.2343570615034,LDES
2025,Conservative,CL,491.6158808060104,LDES
2025,Conservative,CN,341.93877630432115,LDES
2025,Conservative,CO,491.12559231255267,LDES
2025,Conservative,CR,534.097633331647,LDES
2025,Conservative,CU,481.72679709610753,LDES
2025,Conservative,CV,645.1280328079052,LDES
2025,Conservative,CZ,882.032473069003,LDES
2025,Conservative,DE,538.5394800183451,LDES
2025,Conservative,DK,606.6081658092228,LDES
2025,Conservative,DO,474.1788129667195,LDES
2025,Conservative,DZ,582.2668849674235,LDES
2025,Conservative,EC,539.6309418757022,LDES
2025,Conservative,EE,770.0093886989489,LDES
2025,Conservative,EG,495.15707199323026,LDES
2025,Conservative,ES,434.5018666265775,LDES
2025,Conservative,ET,597.9726446010501,LDES
2025,Conservative,FI,1112.8256991317398,LDES
2025,Conservative,FJ,520.1047235471212,LDES
2025,Conservative,FR,412.0988350275395,LDES
2025,Conservative,GB,645.4251998454582,LDES
2025,Conservative,GF,572.509915453775,LDES
2025,Conservative,GH,516.3306908848546,LDES
2025,Conservative,GR,544.3139211282473,LDES
2025,Conservative,GT,483.7504368109847,LDES
2025,Conservative,HN,500.6905199025328,LDES
2025,Conservative,HU,975.4793852887306,LDES
2025,Conservative,ID,513.1424366578738,LDES
2025,Conservative,IE,759.5122406778859,LDES
2025,Conservative,IL,544.4158108595262,LDES
2025,Conservative,IN,427.68815674980056,LDES
2025,Conservative,IR,1149.0209380635672,LDES
2025,Conservative,IT,543.009235903643,LDES
2025,Conservative,JM,518.8301210879168,LDES
2025,Conservative,JO,527.9328028314842,LDES
2025,Conservative,JP,533.2087151573324,LDES
2025,Conservative,KE,552.1446654518857,LDES
2025,Conservative,KH,512.6057868365789,LDES
2025,Conservative,KR,536.9457872069873,LDES
2025,Conservative,KW,499.6837254630301,LDES
2025,Conservative,KZ,657.1836589445741,LDES
2025,Conservative,LC,505.19307144762655,LDES
2025,Conservative,LK,467.5549418687043,LDES
2025,Conservative,LY,426.02232686985377,LDES
2025,Conservative,MA,1337.3253034767022,LDES
2025,Conservative,MG,496.564617479368,LDES
2025,Conservative,MM,605.7926772460978,LDES
2025,Conservative,MN,615.0383733206843,LDES
2025,Conservative,MR,500.0408619536253,LDES
2025,Conservative,MU,487.14438630298247,LDES
2025,Conservative,MX,462.49022001909475,LDES
2025,Conservative,MY,617.5181074925595,LDES
2025,Conservative,NE,671.8090889446019,LDES
2025,Conservative,NG,535.1622583267687,LDES
2025,Conservative,NI,604.2035788062839,LDES
2025,Conservative,NL,636.2582738476445,LDES
2025,Conservative,NO,1122.4596180620106,LDES
2025,Conservative,NP,575.5560979304745,LDES
2025,Conservative,NZ,762.7397738652129,LDES
2025,Conservative,OM,526.8555790101526,LDES
2025,Conservative,PA,497.5784915397825,LDES
2025,Conservative,PE,396.0613026098162,LDES
2025,Conservative,PH,483.2718076287417,LDES
2025,Conservative,PK,470.4899157438502,LDES
2025,Conservative,PL,686.7691506690187,LDES
2025,Conservative,PS,573.8754835686792,LDES
2025,Conservative,PT,515.4646021745818,LDES
2025,Conservative,PY,449.8495002834737,LDES
2025,Conservative,RO,614.0380301949114,LDES
2025,Conservative,RU,657.2153110798901,LDES
2025,Conservative,RW,519.2456524019705,LDES
2025,Conservative,SA,531.9053384246617,LDES
2025,Conservative,SE,1072.8355584185024,LDES
2025,Conservative,SK,1031.2397611758108,LDES
2025,Conservative,SN,515.6082122630938,LDES
2025,Conservative,SR,601.9949094246721,LDES
2025,Conservative,SV,477.9735248152091,LDES
2025,Conservative,TH,483.37748198552714,LDES
2025,Conservative,TN,500.6267568622739,LDES
2025,Conservative,TR,538.0584173100899,LDES
2025,Conservative,TW,520.8345903901901,LDES
2025,Conservative,UA,786.9512884902933,LDES
2025,Conservative,UG,567.9431470264255,LDES
2025,Conservative,US,274.2383108185379,LDES
2025,Conservative,UY,700.9884368847387,LDES
2025,Conservative,UZ,591.094429237474,LDES
2025,Conservative,VN,500.68172323907817,LDES
2025,Conservative,ZA,405.2589603277652,LDES
2025,Conservative,ZM,518.7716067619574,LDES
2025,Central,AE,419.3074961462519,LDES
2025,Central,AF,465.93479436513115,LDES
2025,Central,AR,432.7808276328462,LDES
2025,Central,AT,439.74486500791454,LDES
2025,Central,AU,339.0414285359166,LDES
2025,Central,BD,448.262652089941,LDES
2025,Central,BE,378.2183684568792,LDES
2025,Central,BF,476.11315244221754,LDES
2025,Central,BG,433.49795167063195,LDES
2025,Central,BH,461.14841284014227,LDES
2025,Central,BI,432.95676356717917,LDES
2025,Central,BO,427.81557439440104,LDES
2025,Central,BR,316.77508970409485,LDES
2025,Central,BY,473.59597659450355,LDES
2025,Central,CA,408.15215376632756,LDES
2025,Central,CH,679.8318247332909,LDES
2025,Central,CL,402.4946014124836,LDES
2025,Central,CN,274.5803016416108,LDES
2025,Central,CO,405.4034119058521,LDES
2025,Central,CR,429.57614034309955,LDES
2025,Central,CU,387.789428224596,LDES
2025,Central,CV,497.4238421206708,LDES
2025,Central,CZ,670.5335528468547,LDES
2025,Central,DE,420.6452315609563,LDES
2025,Central,DK,466.63136497881345,LDES
2025,Central,DO,388.33377278504787,LDES
2025,Central,DZ,476.16412649901883,LDES
2025,Central,EC,445.50882609583823,LDES
2025,Central,EE,583.5057168603764,LDES
2025,Central,EG,400.21324582577313,LDES
2025,Central,ES,352.9621076106075,LDES
2025,Central,ET,482.3373160799625,LDES
2025,Central,FI,816.2350488199733,LDES
2025,Central,FJ,414.6732847837559,LDES
2025,Central,FR,335.3023477954822,LDES
2025,Central,GB,489.4655988150725,LDES
2025,Central,GF,465.49965630080914,LDES
2025,Central,GH,424.4360059413408,LDES
2025,Central,GR,443.18361160150715,LDES
2025,Central,GT,397.5871612031778,LDES
2025,Central,HN,409.7193818810438,LDES
2025,Central,HU,734.7821787163174,LDES
2025,Central,ID,417.62616756218983,LDES
2025,Central,IE,585.9740631319655,LDES
2025,Central,IL,442.801652954925,LDES
2025,Central,IN,350.65429850085525,LDES
2025,Central,IR,882.6704548780071,LDES
2025,Central,IT,441.2279048978232,LDES
2025,Central,JM,421.6111469317977,LDES
2025,Central,JO,427.99288733953097,LDES
2025,Central,JP,434.9264721400455,LDES
2025,Central,KE,450.7629927523729,LDES
2025,Central,KH,413.6833745002481,LDES
2025,Central,KR,434.3093104916298,LDES
2025,Central,KW,404.6245050881785,LDES
2025,Central,KZ,520.8466933653858,LDES
2025,Central,LC,415.72303774782995,LDES
2025,Central,LK,383.01460772732537,LDES
2025,Central,LY,346.7457948716126,LDES
2025,Central,MA,971.0618467169525,LDES
2025,Central,MG,406.40341005400614,LDES
2025,Central,MM,497.6238180594634,LDES
2025,Central,MN,480.8814211285584,LDES
2025,Central,MR,405.3415933248979,LDES
2025,Central,MU,400.62949658823624,LDES
2025,Central,MX,377.68632356015354,LDES
2025,Central,MY,503.38089013130633,LDES
2025,Central,NE,544.9221281138836,LDES
2025,Central,NG,440.50713907720586,LDES
2025,Central,NI,478.41018588106976,LDES
2025,Central,NL,488.3255392275115,LDES
2025,Central,NO,823.506229591638,LDES
2025,Central,NP,471.96175021658144,LDES
2025,Central,NZ,576.0406678430148,LDES
2025,Central,OM,432.78653336517306,LDES
2025,Central,PA,404.7476245576295,LDES
2025,Central,PE,322.8073624825647,LDES
2025,Central,PH,395.41320658271565,LDES
2025,Central,PK,381.2983685351775,LDES
2025,Central,PL,530.6902030531588,LDES
2025,Central,PS,466.83290632648016,LDES
2025,Central,PT,421.3697512751616,LDES
2025,Central,PY,368.3107535889856,LDES
2025,Central,RO,483.1360289722234,LDES
2025,Central,RU,523.2593588183009,LDES
2025,Central,RW,427.1972283872629,LDES
2025,Central,SA,429.2886389481575,LDES
2025,Central,SE,790.3691139184332,LDES
2025,Central,SK,775.1108256207659,LDES
2025,Central,SN,419.78534422360156,LDES
2025,Central,SR,493.1247196433742,LDES
2025,Central,SV,395.0554508752095,LDES
2025,Central,TH,396.31187141739866,LDES
2025,Central,TN,410.6438275014504,LDES
2025,Central,TR,439.15718132974746,LDES
2025,Central,TW,424.58876398772736,LDES
2025,Central,UA,612.2431920477563,LDES
2025,Central,UG,470.64817992039053,LDES
2025,Central,US,223.03407825865256,LDES
2025,Central,UY,531.719806314759,LDES
2025,Central,UZ,480.38159629048954,LDES
2025,Central,VN,408.7390801402451,LDES
2025,Central,ZA,335.2375626672019,LDES
2025,Central,ZM,427.5252081969901,LDES
2025,Optimistic,AE,372.38280334456067,LDES
2025,Optimistic,AF,416.6102860912344,LDES
