year,perturbation,storage_scenario,fleet_model,global_storage_bill_busd,ldes_energy_share,fleet_gw,lambda_inf
2025,P0_baseline,Conservative,frozen,61.01122455413435,1.0,82.3,0.13
2025,P0_baseline,Conservative,growing_low,61.01122455413435,1.0,82.3,0.13
2025,P0_baseline,Conservative,growing_central,61.01122455413435,1.0,82.3,0.13
2025,P0_baseline,Conservative,growing_high,71.76046824836217,1.0,96.8,0.13
2025,P0_baseline,Central,frozen,48.52189784881941,1.0,82.3,0.13
2025,P0_baseline,Central,growing_low,48.52189784881941,1.0,82.3,0.13
2025,P0_baseline,Central,growing_central,48.52189784881941,1.0,82.3,0.13
2025,P0_baseline,Central,growing_high,57.070713387189784,1.0,96.8,0.13
2025,P0_baseline,Optimistic,frozen,42.27723449616193,1.0,82.3,0.13
2025,P0_baseline,Optimistic,growing_low,42.27723449616193,1.0,82.3,0.13
2025,P0_baseline,Optimistic,growing_central,42.27723449616193,1.0,82.3,0.13
2025,P0_baseline,Optimistic,growing_high,49.72583595660359,1.0,96.8,0.13
2025,P1_flatten,Conservative,frozen,59.65676489110135,1.0,82.3,0.13
2025,P1_flatten,Conservative,growing_low,59.65676489110135,1.0,82.3,0.13
2025,P1_flatten,Conservative,growing_central,59.65676489110135,1.0,82.3,0.13
2025,P1_flatten,Conservative,growing_high,70.16737352926626,1.0,96.8,0.13
2025,P1_flatten,Central,frozen,47.01220017222181,1.0,82.3,0.13
2025,P1_flatten,Central,growing_low,47.01220017222181,1.0,82.3,0.13
2025,P1_flatten,Central,growing_central,47.01220017222181,1.0,82.3,0.13
2025,P1_flatten,Central,growing_high,55.29503009320865,1.0,96.8,0.13
2025,P1_flatten,Optimistic,frozen,40.68991781278203,1.0,82.3,0.13
2025,P1_flatten,Optimistic,growing_low,40.68991781278203,1.0,82.3,0.13
2025,P1_flatten,Optimistic,growing_central,40.68991781278203,1.0,82.3,0.13
2025,P1_flatten,Optimistic,growing_high,47.85885837517984,1.0,96.8,0.13
2025,P2_sharpen,Conservative,frozen,60.957957381917595,1.0,82.3,0.13
2025,P2_sharpen,Conservative,growing_low,60.957957381917595,1.0,82.3,0.13
2025,P2_sharpen,Conservative,growing_central,60.957957381917595,1.0,82.3,0.13
2025,P2_sharpen,Conservative,growing_high,71.6978162159128,1.0,96.8,0.13
2025,P2_sharpen,Central,frozen,48.727882971539,1.0,82.3,0.13
2025,P2_sharpen,Central,growing_low,48.727882971539,1.0,82.3,0.13
2025,P2_sharpen,Central,growing_central,48.727882971539,1.0,82.3,0.13
2025,P2_sharpen,Central,growing_high,57.31298993493288,1.0,96.8,0.13
2025,P2_sharpen,Optimistic,frozen,42.61284576634972,1.0,82.3,0.13
