iso2,region,continent,wacc,access,kappa,unc_L0,tot_L0,unc_T1,tot_T1,unc_T2,tot_T2,unc_T3,tot_T3,opt_scope
AE,AS,Asia,0.032,100.0,0.85,52.1,89.0,24.5,105.0,17.0,124.0,13.1,159.0,L0
AF,AS,Asia,0.08,85.3,0.45,53.3,131.0,24.3,159.0,17.0,203.0,14.1,230.0,L0
AR,SA,Americas,0.073,100.0,0.85,27.8,101.0,20.3,126.0,18.1,123.0,6.4,354.0,L0
AT,EU,EurAfrMENA,0.041,100.0,0.85,44.1,109.0,17.8,93.0,15.8,110.0,13.3,170.0,T1
AU,OC,Oceania,0.03,100.0,0.85,22.9,71.0,22.9,71.0,21.3,79.0,21.0,89.0,L0
BD,AS,Asia,0.078,99.5,0.85,58.2,150.0,26.4,219.0,14.8,175.0,11.5,244.0,L0
BE,EU,EurAfrMENA,0.03,100.0,0.85,25.1,72.0,17.7,77.0,16.7,89.0,14.3,141.0,L0
BF,AF,EurAfrMENA,0.144,21.7,0.25,52.0,197.0,51.4,246.0,20.9,296.0,16.2,373.0,L0
BG,EU,EurAfrMENA,0.035,100.0,0.85,33.7,98.0,21.6,125.0,14.7,111.0,11.3,172.0,L0
BH,AS,Asia,0.06,100.0,0.85,56.3,116.0,34.5,160.0,16.4,161.0,13.7,205.0,L0
BI,AF,EurAfrMENA,0.149,11.6,0.25,50.6,195.0,29.0,237.0,22.0,284.0,11.5,498.0,L0
BO,SA,Americas,0.09,99.8,0.85,52.5,122.0,22.2,149.0,19.2,160.0,7.6,345.0,L0
BR,SA,Americas,0.062,99.8,0.85,17.8,86.0,17.8,86.0,16.4,114.0,8.5,252.0,L0
BY,EU,EurAfrMENA,0.052,100.0,0.85,56.7,171.0,21.4,133.0,17.1,133.0,13.9,216.0,T1
CA,NA,Americas,0.045,100.0,0.85,20.8,88.0,18.1,95.0,13.6,102.0,6.9,156.0,L0
CH,EU,EurAfrMENA,0.03,100.0,0.85,55.2,124.0,17.1,80.0,16.2,90.0,14.0,137.0,T1
CL,SA,Americas,0.035,100.0,0.85,31.2,83.0,22.3,89.0,19.7,88.0,7.4,214.0,L0
CN,AS,Asia,0.04,100.0,0.85,12.6,74.0,12.5,75.0,12.1,81.0,8.3,148.0,L0
CO,SA,Americas,0.04,98.7,0.6,51.2,95.0,25.7,123.0,18.0,114.0,7.0,159.0,L0
CR,NA,Americas,0.048,100.0,0.85,53.8,113.0,24.3,110.0,18.0,127.0,9.1,168.0,T1
CU,NA,Americas,0.062,100.0,0.85,28.2,101.0,24.1,131.0,13.4,131.0,6.9,172.0,L0
CV,AF,EurAfrMENA,0.11,98.6,0.6,50.5,154.0,25.0,146.0,18.4,178.0,16.9,305.0,T1
CZ,EU,EurAfrMENA,0.037,100.0,0.85,54.6,144.0,18.2,91.0,16.6,105.0,13.9,165.0,T1
DE,EU,EurAfrMENA,0.03,100.0,0.85,22.9,72.0,17.2,82.0,15.8,95.0,13.2,150.0,L0
DK,EU,EurAfrMENA,0.03,100.0,0.85,24.4,72.0,17.6,79.0,16.4,95.0,13.5,163.0,L0
DO,NA,Americas,0.062,99.6,0.85,35.5,122.0,26.7,131.0,17.4,143.0,6.8,191.0,L0
DZ,AF,EurAfrMENA,0.11,100.0,0.85,55.8,165.0,19.7,181.0,17.0,193.0,15.4,257.0,L0
EC,SA,Americas,0.09,98.7,0.6,51.7,141.0,50.5,206.0,18.9,173.0,8.2,278.0,L0
