iso2,region,continent,wacc,access,td_loss,kappa,unc_L0,unc_T1,unc_T2,unc_T3,tot_L0,tot_T1,tot_T2,tot_T3,tx_L0,tx_T1,tx_T2,tx_T3,opt_scope,opt_total
AE,AS,Asia,0.06,100.0,4.29052360146121,0.85,50.2,24.2,17.3,13.5,207.0,161.0,182.0,257.0,0.0,37.0,66.0,143.0,T1,161.0
AF,AS,Asia,0.08,85.3,,0.45,49.7,23.9,18.0,16.3,234.0,198.0,223.0,279.0,0.0,50.0,85.0,136.0,T1,198.0
AR,SA,Americas,0.09,100.0,23.8509266611933,0.85,26.5,19.7,17.7,8.8,153.0,178.0,178.0,573.0,7.0,44.0,57.0,443.0,L0,153.0
AT,EU,EurAfrMENA,0.045,100.0,4.14126185743066,0.85,44.5,18.1,16.4,14.1,164.0,122.0,141.0,225.0,0.0,30.0,51.0,133.0,T1,122.0
AU,OC,Oceania,0.045,100.0,4.61865240423501,0.85,21.5,21.5,20.0,19.8,104.0,104.0,111.0,120.0,3.0,3.0,15.0,21.0,L0,104.0
BD,AS,Asia,0.078,99.5,7.90266328471782,0.85,58.5,27.3,16.6,14.9,273.0,251.0,203.0,263.0,0.0,60.0,77.0,125.0,T2,203.0
BE,EU,EurAfrMENA,0.045,100.0,4.36632681113515,0.85,23.9,17.7,16.7,14.5,106.0,116.0,132.0,213.0,1.0,24.0,42.0,122.0,L0,106.0
BF,AF,EurAfrMENA,0.144,21.7,17.1030640668524,0.25,49.1,48.3,22.5,17.9,339.0,396.0,358.0,432.0,0.0,52.0,157.0,253.0,L0,339.0
BG,EU,EurAfrMENA,0.052,100.0,5.87504657806484,0.85,31.8,21.1,15.3,12.6,153.0,165.0,159.0,243.0,2.0,40.0,65.0,148.0,L0,153.0
BH,AS,Asia,0.06,100.0,2.69124079803691,0.85,54.9,34.2,17.1,14.7,222.0,205.0,172.0,257.0,0.0,46.0,62.0,146.0,T2,172.0
BI,AF,EurAfrMENA,0.149,11.6,,0.25,46.6,25.7,22.2,13.7,334.0,276.0,293.0,554.0,0.0,66.0,94.0,368.0,T1,276.0
BO,SA,Americas,0.09,99.8,8.94736842105263,0.85,48.5,21.6,18.5,10.1,229.0,182.0,190.0,483.0,0.0,42.0,65.0,352.0,T1,182.0
BR,SA,Americas,0.09,99.8,15.1096105687426,0.85,17.2,17.2,16.4,10.8,125.0,125.0,164.0,413.0,6.0,6.0,43.0,290.0,L0,125.0
BY,EU,EurAfrMENA,0.052,100.0,6.88580402311252,0.85,54.7,23.5,20.4,18.5,245.0,165.0,172.0,252.0,0.0,42.0,62.0,141.0,T1,165.0
CA,NA,Americas,0.045,100.0,3.99982938442533,0.85,18.7,16.6,13.9,8.9,107.0,118.0,138.0,233.0,5.0,22.0,48.0,149.0,L0,107.0
CH,EU,EurAfrMENA,0.045,100.0,5.50251154773287,0.85,51.8,17.1,16.3,14.3,211.0,120.0,133.0,215.0,0.0,28.0,44.0,123.0,T1,120.0
CL,SA,Americas,0.09,100.0,5.91094282804127,0.85,29.8,21.4,18.9,9.4,169.0,185.0,178.0,514.0,5.0,44.0,51.0,383.0,L0,169.0
CN,AS,Asia,0.045,100.0,3.42898799062376,0.85,11.9,11.9,11.3,9.9,82.0,83.0,94.0,141.0,5.0,6.0,17.0,57.0,L0,82.0
CO,SA,Americas,0.09,98.7,7.78769785703884,0.6,46.5,23.7,16.8,8.5,240.0,217.0,201.0,387.0,0.0,59.0,78.0,267.0,T2,201.0
CR,NA,Americas,0.062,100.0,9.16583416583417,0.85,49.6,22.2,17.0,10.2,218.0,147.0,179.0,280.0,0.0,32.0,72.0,179.0,T1,147.0
CU,NA,Americas,0.062,100.0,18.7449556093624,0.85,28.5,23.1,13.3,9.6,141.0,160.0,171.0,237.0,3.0,31.0,75.0,144.0,L0,141.0
CV,AF,EurAfrMENA,0.11,98.6,,0.6,44.7,23.4,18.3,16.8,260.0,188.0,208.0,328.0,0.0,28.0,66.0,183.0,T1,188.0
CZ,EU,EurAfrMENA,0.052,100.0,3.91148511765623,0.85,52.3,18.6,17.4,14.9,233.0,133.0,151.0,251.0,3.0,33.0,53.0,150.0,T1,133.0
DE,EU,EurAfrMENA,0.045,100.0,5.03515465508585,0.85,22.1,17.4,16.3,14.2,104.0,117.0,135.0,217.0,2.0,26.0,45.0,125.0,L0,104.0
DK,EU,EurAfrMENA,0.045,100.0,5.65931459741492,0.85,23.9,18.4,17.1,14.5,105.0,119.0,140.0,243.0,1.0,27.0,46.0,148.0,L0,105.0
DO,NA,Americas,0.062,99.6,12.8033955577533,0.85,32.5,24.5,15.5,7.9,166.0,156.0,180.0,294.0,2.0,25.0,76.0,200.0,T1,156.0
DZ,AF,EurAfrMENA,0.11,100.0,9.20242191012998,0.85,53.9,19.3,16.5,15.7,303.0,223.0,232.0,271.0,0.0,68.0,92.0,133.0,T1,223.0
EC,SA,Americas,0.09,98.7,16.9956450427012,0.6,48.9,47.9,18.6,11.0,248.0,305.0,204.0,415.0,0.0,51.0,77.0,287.0,T2,204.0
EE,EU,EurAfrMENA,0.052,100.0,21.0269799825936,0.85,38.0,19.8,16.6,13.5,143.0,134.0,162.0,304.0,0.0,32.0,63.0,203.0,T1,134.0
EG,AF,EurAfrMENA,0.11,100.0,19.8703109747594,0.85,26.2,25.9,15.3,13.1,157.0,184.0,236.0,312.0,3.0,10.0,98.0,183.0,L0,157.0
ES,EU,EurAfrMENA,0.045,100.0,8.55708688960403,0.85,23.1,18.8,17.6,16.2,116.0,122.0,141.0,186.0,3.0,25.0,47.0,92.0,L0,116.0
ET,AF,EurAfrMENA,0.127,55.4,20.729151435395,0.25,36.4,25.9,20.5,15.1,237.0,233.0,297.0,480.0,0.0,39.0,97.0,316.0,T1,233.0
FI,EU,EurAfrMENA,0.045,100.0,3.55163110129998,0.85,40.7,20.1,16.1,13.0,142.0,129.0,143.0,269.0,0.0,30.0,52.0,176.0,T1,129.0
FJ,OC,Oceania,0.05,99.3,,0.85,47.5,47.5,25.2,19.7,228.0,228.0,191.0,187.0,0.0,0.0,62.0,81.0,T3,187.0
FR,EU,EurAfrMENA,0.045,100.0,6.95849027888749,0.85,21.9,17.5,17.0,15.0,113.0,117.0,129.0,205.0,3.0,25.0,39.0,113.0,L0,113.0
GB,EU,EurAfrMENA,0.045,100.0,9.61662622926309,0.85,19.6,17.1,16.5,14.6,94.0,112.0,124.0,196.0,2.0,22.0,35.0,108.0,L0,94.0
GF,SA,Americas,0.09,,,0.5,49.8,47.6,20.5,14.5,264.0,303.0,215.0,465.0,0.0,57.0,82.0,323.0,T2,215.0
GH,AF,EurAfrMENA,0.11,89.5,11.2452612493819,0.45,49.4,49.0,22.0,12.9,292.0,320.0,265.0,347.0,0.0,33.0,105.0,215.0,T2,265.0
GR,EU,EurAfrMENA,0.052,100.0,11.984133344018,0.85,39.2,20.1,16.7,14.8,186.0,142.0,163.0,220.0,2.0,35.0,65.0,123.0,T1,142.0
GT,NA,Americas,0.062,100.0,12.4417784050812,0.85,37.4,23.2,15.3,10.4,191.0,156.0,181.0,258.0,2.0,36.0,76.0,159.0,T1,156.0
HN,NA,Americas,0.062,95.6,33.8380015140045,0.6,34.1,22.6,16.7,10.7,164.0,146.0,175.0,284.0,6.0,32.0,71.0,184.0,T1,146.0
HU,EU,EurAfrMENA,0.052,100.0,6.96581797721199,0.85,53.3,18.8,16.9,14.3,224.0,133.0,155.0,253.0,0.0,34.0,58.0,153.0,T1,133.0
ID,AS,Asia,0.078,99.4,6.45342130761777,0.85,40.3,40.3,22.1,11.6,254.0,254.0,237.0,337.0,0.0,0.0,86.0,207.0,T2,237.0
IE,EU,EurAfrMENA,0.045,100.0,7.81426598015823,0.85,32.6,24.5,23.2,20.8,118.0,131.0,146.0,224.0,1.0,26.0,40.0,117.0,L0,118.0
IL,AS,Asia,0.045,100.0,3.86980533469116,0.85,42.9,22.0,16.4,15.2,205.0,138.0,157.0,270.0,2.0,29.0,61.0,160.0,T1,138.0
IN,AS,Asia,0.078,99.5,14.1614354109371,0.85,22.5,21.5,17.7,13.9,149.0,151.0,216.0,292.0,5.0,15.0,78.0,154.0,L0,149.0
IR,AS,Asia,0.078,100.0,10.0485672530559,0.85,46.3,45.4,38.0,35.2,228.0,252.0,247.0,365.0,5.0,33.0,64.0,178.0,L0,228.0
IT,EU,EurAfrMENA,0.045,100.0,6.89266988017347,0.85,39.3,18.2,16.8,14.6,184.0,137.0,140.0,196.0,3.0,37.0,48.0,104.0,T1,137.0
JM,NA,Americas,0.062,97.7,26.8860867706775,0.6,43.2,24.0,14.7,9.8,213.0,171.0,185.0,286.0,6.0,38.0,85.0,188.0,T1,171.0
JO,AS,Asia,0.078,100.0,10.9565436664705,0.85,55.7,22.0,17.0,16.1,250.0,184.0,204.0,372.0,3.0,45.0,82.0,229.0,T1,184.0
JP,AS,Asia,0.045,100.0,4.93403467617748,0.85,39.2,19.8,15.7,11.2,179.0,144.0,138.0,226.0,4.0,36.0,47.0,129.0,T2,138.0
KE,AF,EurAfrMENA,0.117,76.2,24.159647327403,0.25,30.7,23.9,22.7,13.9,215.0,221.0,253.0,488.0,21.0,46.0,83.0,331.0,L0,215.0
KH,AS,Asia,0.078,95.0,11.5865384615385,0.6,54.6,24.4,13.4,9.7,253.0,197.0,204.0,264.0,0.0,42.0,85.0,153.0,T1,197.0
KR,AS,Asia,0.045,100.0,3.24438949704021,0.85,40.3,16.2,14.6,10.7,196.0,125.0,143.0,212.0,3.0,32.0,46.0,116.0,T1,125.0
KW,AS,Asia,0.06,100.0,9.03689060067942,0.85,57.5,24.6,15.7,13.3,230.0,167.0,165.0,264.0,0.0,39.0,62.0,159.0,T2,165.0
KZ,AS,Asia,0.078,100.0,9.72399524585112,0.85,52.9,30.8,20.5,18.2,254.0,198.0,222.0,289.0,0.0,47.0,90.0,129.0,T1,198.0
LC,NA,Americas,0.062,100.0,,0.85,49.4,32.0,18.1,8.8,204.0,218.0,188.0,316.0,0.0,50.0,72.0,219.0,T2,188.0
LK,AS,Asia,0.078,100.0,9.21759140884684,0.85,28.1,24.8,19.0,13.3,150.0,183.0,263.0,308.0,2.0,39.0,92.0,173.0,L0,150.0
LY,AF,EurAfrMENA,0.118,73.2,20.1683162448883,0.25,24.0,20.8,15.0,13.7,165.0,206.0,241.0,292.0,0.0,47.0,101.0,157.0,L0,165.0
MA,AF,EurAfrMENA,0.11,100.0,18.1899293084121,0.85,35.0,23.7,17.9,16.6,226.0,222.0,246.0,286.0,5.0,48.0,103.0,146.0,T1,222.0
MG,AF,EurAfrMENA,0.135,39.4,5.27114144861585,0.25,43.4,42.1,20.1,12.6,297.0,336.0,336.0,635.0,0.0,40.0,151.0,454.0,L0,297.0
MM,AS,Asia,0.085,76.8,7.8069924740402,0.25,53.3,26.4,15.1,12.6,261.0,253.0,230.0,325.0,0.0,58.0,98.0,179.0,T2,230.0
MN,AS,Asia,0.078,100.0,14.2184671092336,0.85,28.6,19.3,16.7,12.9,160.0,170.0,211.0,316.0,2.0,46.0,79.0,180.0,L0,160.0
MR,AF,EurAfrMENA,0.13,50.3,,0.25,26.5,26.2,23.0,17.2,202.0,222.0,271.0,391.0,14.0,33.0,88.0,227.0,L0,202.0
MU,AF,EurAfrMENA,0.11,100.0,5.72741194486983,0.85,48.6,47.7,46.2,12.4,282.0,315.0,388.0,571.0,0.0,35.0,111.0,418.0,L0,282.0
MX,NA,Americas,0.062,99.7,11.1305372030108,0.85,23.7,16.0,13.5,9.7,117.0,128.0,164.0,234.0,5.0,28.0,67.0,142.0,L0,117.0
MY,AS,Asia,0.078,100.0,6.89739152062844,0.85,53.0,30.5,19.6,15.1,249.0,236.0,278.0,401.0,0.0,55.0,104.0,234.0,T1,236.0
NE,AF,EurAfrMENA,0.145,20.1,45.7782299084435,0.25,53.0,52.2,23.3,19.5,357.0,442.0,391.0,497.0,0.0,79.0,186.0,296.0,L0,357.0
NG,AF,EurAfrMENA,0.124,61.2,14.1507361019556,0.25,48.0,46.4,20.8,14.8,313.0,364.0,285.0,414.0,0.0,62.0,116.0,257.0,T2,285.0
NI,NA,Americas,0.063,88.3,21.4585635359116,0.45,48.3,25.7,17.9,12.9,204.0,151.0,178.0,284.0,0.0,24.0,69.0,176.0,T1,151.0
NL,EU,EurAfrMENA,0.045,100.0,4.13350871423874,0.85,21.2,16.6,15.8,14.0,97.0,114.0,128.0,210.0,1.0,25.0,41.0,121.0,L0,97.0
NO,EU,EurAfrMENA,0.045,100.0,4.73546596081216,0.85,45.9,18.3,16.9,14.9,161.0,120.0,141.0,235.0,0.0,28.0,49.0,142.0,T1,120.0
NP,AS,Asia,0.078,94.0,14.4083033671134,0.45,49.4,46.3,17.5,14.7,243.0,301.0,227.0,303.0,0.0,70.0,93.0,157.0,T2,227.0
NZ,OC,Oceania,0.045,100.0,6.60964578388787,0.85,39.7,39.7,19.9,19.4,140.0,140.0,156.0,163.0,0.0,0.0,56.0,63.0,L0,140.0
OM,AS,Asia,0.06,100.0,7.48268930087112,0.85,53.0,27.0,18.0,14.2,210.0,154.0,189.0,274.0,0.0,25.0,70.0,155.0,T1,154.0
PA,NA,Americas,0.062,97.0,6.57513348588863,0.6,49.5,26.0,14.5,8.6,214.0,187.0,170.0,273.0,0.0,44.0,72.0,179.0,T2,170.0
PE,SA,Americas,0.09,96.2,11.3404772861745,0.6,23.0,22.6,18.3,9.4,144.0,158.0,202.0,463.0,9.0,23.0,74.0,338.0,L0,144.0
PH,AS,Asia,0.078,98.0,9.99127288748803,0.6,27.9,21.0,15.1,10.7,151.0,154.0,217.0,305.0,9.0,35.0,86.0,182.0,L0,151.0
PK,AS,Asia,0.078,95.6,15.351141549487,0.6,27.5,23.1,19.4,14.6,161.0,179.0,182.0,273.0,9.0,39.0,60.0,143.0,L0,161.0
PL,EU,EurAfrMENA,0.052,100.0,6.17822444760459,0.85,29.7,18.9,17.6,15.1,148.0,134.0,153.0,249.0,3.0,33.0,54.0,149.0,T1,134.0
PS,AS,Asia,0.078,100.0,,0.85,55.5,22.3,17.1,16.1,252.0,182.0,207.0,355.0,0.0,43.0,83.0,221.0,T1,182.0
PT,EU,EurAfrMENA,0.045,100.0,9.86481251146953,0.85,35.3,18.9,17.4,16.1,167.0,125.0,141.0,181.0,3.0,29.0,49.0,88.0,T1,125.0
