country,window,U_pct
US,2019/20,16.03
US,2020/21,16.66
US,2021/22,16.68
US,2022/23,16.36
US,2023/24,16.67
US,2024/25,16.26
US,2025/26,16.77
DE,2019/20,22.51
DE,2020/21,23.91
DE,2021/22,23.76
DE,2022/23,23.55
DE,2023/24,22.78
DE,2024/25,25.17
DE,2025/26,22.64
GB,2019/20,24.97
GB,2020/21,26.27
GB,2021/22,26.23
GB,2022/23,24.16
GB,2023/24,25.04
GB,2024/25,26.8
GB,2025/26,24.52
SA,2019/20,54.55
SA,2020/21,54.55
SA,2021/22,54.5
SA,2022/23,54.73
SA,2023/24,54.89
SA,2024/25,54.53
SA,2025/26,54.34
IN,2019/20,29.77
IN,2020/21,29.89
IN,2021/22,29.61
IN,2022/23,29.84
IN,2023/24,29.39
IN,2024/25,30.41
IN,2025/26,29.92
AU,2019/20,26.0
AU,2020/21,26.05
AU,2021/22,25.06
AU,2022/23,25.7
AU,2023/24,25.67
AU,2024/25,26.62
AU,2025/26,25.94
BR,2019/20,24.94
BR,2020/21,23.67
BR,2021/22,23.97
BR,2022/23,24.34
BR,2023/24,24.93
BR,2024/25,23.94
BR,2025/26,23.95
ZA,2019/20,31.52
ZA,2020/21,31.47
ZA,2021/22,31.65
ZA,2022/23,32.28
ZA,2023/24,31.38
ZA,2024/25,31.66
ZA,2025/26,30.97
