country,region,continent,uncovered_share_local,excess_share_local,max_uncovered_x_mean,n_runs,median_run_h,p95_run_h,max_run_h,peak_demand_local_h,peak_supply_local_h,phase_lag_h,spectral_diurnal_d,spectral_diurnal_s
PS,Asia-Pacific,Asia,0.5554439770809817,0.5554439770809817,2.077071148359333,369,15.0,17.0,40,22,12,10.0,0.5071618265597286,0.7814438607275273
BD,Asia-Pacific,Asia,0.5531353611650548,0.5531353611650547,1.8708324878807228,395,15.0,17.0,43,23,12,11.0,0.4711606922349162,0.7498866505747797
KH,Asia-Pacific,Asia,0.5462964641697602,0.5462964641697601,1.3973839108858856,380,15.0,17.05000000000001,23,21,12,9.0,0.3926062386325553,0.7570580701937645
SA,Asia-Pacific,Asia,0.5433750746998084,0.5433750746998086,1.7718864601235649,366,15.0,18.0,41,21,13,8.0,0.6140626095752154,0.7815737797990708
DZ,Africa/MENA,EurAfrMENA,0.538681055366756,0.5386810553667561,2.8288197047086197,375,15.0,18.30000000000001,44,21,12,9.0,0.6337031846572183,0.7631000428844068
BH,Asia-Pacific,Asia,0.5344859933562036,0.5344859933562034,2.07182511942786,375,15.0,17.0,22,21,12,9.0,0.49044620379193216,0.7883143980428475
MM,Asia-Pacific,Asia,0.5325311738161502,0.5325311738161502,2.4370733991574562,383,15.0,17.0,22,20,12,8.0,0.5064455895336144,0.7735096768916528
NE,Africa/MENA,EurAfrMENA,0.530446336430366,0.5304463364303661,5.064100217610121,390,15.0,18.0,42,20,12,8.0,0.3213575745536181,0.7841417281138359
MY,Asia-Pacific,Asia,0.5302750663779531,0.5302750663779532,2.222692795541366,382,15.0,18.94999999999999,41,20,12,8.0,0.3204454644400444,0.7535643348578797
SK,Europe,EurAfrMENA,0.5251161593583006,0.5251161593583007,1.9168395213056952,317,15.0,52.99999999999983,259,20,12,8.0,0.6567698739205999,0.6715869290657057
IR,Asia-Pacific,Asia,0.5236040034810442,0.5236040034810444,4.2483646369492885,294,5.0,41.0,674,21,14,7.0,0.2201724840880029,0.10593188917190675
SR,Latin America,Americas,0.5199643128564397,0.5199643128564396,2.2859055095193286,403,15.0,18.0,21,21,12,9.0,0.4404113115033197,0.7614330291755679
