country,region,x_peak,y_solar,reach,phase_lag,home_gap,pv_frac
AE,Asia-Pacific,21,11.546829136225082,9.453170863774918,8.0,0.5016482663887235,0.6029537258034966
AF,Asia-Pacific,21,13.01585331988135,7.98414668011865,9.0,0.4951124568842826,0.6664288898548195
AR,Latin America,21,12.505498547373385,8.494501452626615,7.0,0.2808816193441207,0.7090400006068271
AT,Europe,20,13.043191184739143,6.956808815260857,8.0,0.3339544256663464,0.6945109715338621
AU,Asia-Pacific,14,12.941491581152384,1.058508418847616,1.0,0.2593549123343168,0.5959042467410407
BD,Asia-Pacific,23,12.650432008827295,10.349567991172705,11.0,0.5531353611650548,0.6729893937233121
BE,Europe,19,13.051049326348668,5.948950673651332,7.0,0.2392052981027593,0.6964877296048411
BF,Africa/MENA,20,13.377190231211923,6.622809768788077,7.0,0.4907722149687896,0.6847218978829537
BG,Europe,14,12.949713157654227,1.0502868423457734,1.0,0.411998902283765,0.6954407218240987
BH,Asia-Pacific,21,12.328811464986925,8.671188535013075,9.0,0.5344859933562036,0.5640740340518046
BI,Africa/MENA,13,11.956034015353639,1.043965984646361,1.0,0.4658841777967879,0.6062179744217976
BO,Latin America,20,12.003694825539139,7.996305174460861,8.0,0.3937526646898615,0.6772598631243592
BR,Latin America,20,12.55746027263241,7.44253972736759,8.0,0.2394770825528612,0.6818220458320845
BY,Europe,20,12.238077619965509,7.761922380034491,8.0,0.3492088296592869,0.7790301383643835
CA,North America,14,13.40938627699182,0.5906137230081807,1.0,0.2242467582682321,0.6536488070648239
CH,Europe,19,13.068123129806603,5.931876870193397,7.0,0.5123957904749172,0.6748424581802691
CL,Latin America,20,12.321067591327946,7.678932408672054,8.0,0.3130990404881814,0.7537019123799026
CN,Asia-Pacific,22,13.242058108694465,8.757941891305535,9.0,0.2498914332297519,0.338243178867603
CO,Latin America,15,12.638331826772696,2.3616681732273044,3.0,0.4596520047978852,0.7886155463261809
CR,North America,20,12.184773487369274,7.815226512630726,7.0,0.3767513579450738,0.7785031749468803
CU,North America,14,13.061832884792103,0.9381671152078965,1.0,0.4930899149818238,0.46614986945123854
CV,Africa/MENA,15,11.47625282603672,3.5237471739632795,3.0,0.2832389189541761,0.7332843415700503
CZ,Europe,20,12.735038621787444,7.264961378212556,8.0,0.4697841361941283,0.7511052290407613
DE,Europe,20,13.414353062332776,6.585646937667224,8.0,0.2264112691303716,0.6571724635143306
DK,Europe,20,12.974116817294167,7.025883182705833,7.0,0.2606108852906956,0.7127233550745058
DO,North America,20,12.166395220650092,7.833604779349908,8.0,0.3722648733632798,0.7286977435862818
DZ,Africa/MENA,21,12.983932964530739,8.016067035469261,9.0,0.538681055366756,0.6917188164046809
EC,Latin America,20,12.300582043863889,7.699417956136111,8.0,0.4815051060226485,0.7249873888183315
EE,Europe,20,12.76001262218696,7.239987377813041,7.0,0.2983676665821124,0.7050611678842321
EG,Africa/MENA,22,13.143788248114422,8.856211751885578,9.0,0.2670450497114195,0.5438875712825709
ES,Europe,15,12.447212478274636,2.5527875217253637,2.0,0.2608091550957646,0.697104643717055
ET,Africa/MENA,20,12.873366458057392,7.126633541942608,-2.0,0.3638301696425007,0.7164041164733107
FI,Europe,20,12.569862328083126,7.430137671916874,5.0,0.3870857522491102,0.6035338483865608
FJ,Asia-Pacific,11,12.503517851555063,-1.5035178515550633,-2.0,0.3258053329295308,0.6473675615851678
FR,Europe,19,12.986112492309957,6.013887507690043,7.0,0.2336174926610192,0.6983697544665457
GB,Europe,20,13.283525315723484,6.716474684276516,7.0,0.2451540996344414,0.6581942251056042
GF,Latin America,14,10.391825244309196,3.608174755690804,2.0,0.4977273493602897,0.6044642705315841
GH,Africa/MENA,20,13.334675303701012,6.665324696298988,7.0,0.4939520568535028,0.6420166269964934
GR,Europe,21,12.82076335041881,8.17923664958119,8.0,0.3979602435433436,0.7288098436690342
GT,North America,15,12.627574229112078,2.372425770887922,3.0,0.3672923486159939,0.8134884829941562
HN,North America,21,12.853914810396335,8.146085189603665,9.0,0.354734308389432,0.7688481453208439
HU,Europe,20,12.84422439446628,7.155775605533719,8.0,0.5019169020753678,0.7236403345095161
ID,Asia-Pacific,22,13.225173989651907,8.774826010348093,9.0,0.5131129839258163,0.5787126552775905
IE,Europe,19,13.755007506284082,5.244992493715918,7.0,0.3122735528730564,0.5461855639528169
IL,Asia-Pacific,14,12.544362149396102,1.4556378506038978,2.0,0.4823474233261874,0.6699130969596069
IN,Asia-Pacific,21,12.608713207697173,8.391286792302827,9.0,0.2992177343071252,0.6992220779525099
IR,Asia-Pacific,21,14.109589880711628,6.890410119288372,7.0,0.5236040034810442,0.4498269994067116
IT,Europe,15,13.021342925116947,1.9786570748830528,3.0,0.4017193671922296,0.7346449324097608
JM,North America,21,11.596540588827796,9.403459411172204,9.0,0.4213848168549109,0.6340351818317036
JO,Asia-Pacific,22,13.336879917494434,8.663120082505566,10.0,0.4114718193780716,0.6176608907622596
JP,Asia-Pacific,22,13.369713459730333,8.630286540269667,10.0,0.5109391737245954,0.6405697260039804
KE,Africa/MENA,19,12.036628115813434,6.963371884186566,9.0,0.3227508583618281,0.7313271165320172
