demand_country,site_id,supply_country,tech,weight
AE,AFG_S_10_21,AF,PV,0.0
AE,ARE_S_8_18,AE,PV,0.0
AE,ARG_S_-8_-23,AR,PV,0.0
AE,ARG_W_-15_-22,AR,WIND,0.0
AE,ATA_W_-26_55,AQ,WIND,0.0
AE,AUS_S_-10_50,AU,PV,0.0
AE,AUS_S_-11_45,AU,PV,0.008407677432519826
AE,AUS_S_-11_49,AU,PV,0.0
AE,AUS_S_-12_47,AU,PV,0.0
AE,AUS_S_-7_48,AU,PV,0.0
AE,AUS_S_-7_49,AU,PV,0.0
AE,AUS_S_-8_49,AU,PV,0.0
AE,AUS_W_-12_46,AU,WIND,0.0
AE,AUS_W_-12_49,AU,WIND,0.0048330343725837555
AE,AUS_W_-13_46,AU,WIND,0.0
AE,AUS_W_-13_47,AU,WIND,0.0
AE,AUS_W_-13_48,AU,WIND,0.006345977471299225
AE,AUT_W_16_5,AT,WIND,0.003926478287306522
AE,BDI_S_-2_10,BI,PV,0.0
AE,BEL_S_17_1,BE,PV,0.0
AE,BEL_W_17_0,BE,WIND,0.0
AE,BFA_S_4_-1,BF,PV,0.0
AE,BGD_S_6_30,BD,PV,0.0
AE,BGR_S_14_8,BG,PV,0.0
AE,BGR_W_14_9,BG,WIND,0.0
AE,BHR_S_8_16,BH,PV,0.0
AE,BLR_S_17_10,BY,PV,0.0
AE,BOL_S_-7_-23,BO,PV,0.0
AE,BRA_S_-3_-15,BR,PV,0.0
AE,BRA_S_-5_-15,BR,PV,0.0
AE,BRA_S_-6_-15,BR,PV,0.0
AE,BRA_S_-6_-16,BR,PV,0.0
AE,BRA_W_-10_-17,BR,WIND,0.005831599231138228
AE,BRA_W_-11_-17,BR,WIND,0.0
AE,BRA_W_-12_-18,BR,WIND,0.0
AE,BRA_W_-1_-14,BR,WIND,0.0
AE,BRA_W_-2_-12,BR,WIND,0.0
AE,BRA_W_-2_-13,BR,WIND,0.0
AE,BRA_W_-2_-14,BR,WIND,0.0
AE,BRA_W_-3_-13,BR,WIND,0.0
AE,BRA_W_-3_-14,BR,WIND,0.0
AE,BRA_W_-4_-14,BR,WIND,0.0
AE,BRA_W_-5_-15,BR,WIND,0.0
AE,CAN_S_14_-26,CA,PV,0.0
AE,CAN_S_14_-27,CA,PV,0.006375746261852301
AE,CAN_S_14_-28,CA,PV,0.0
AE,CAN_W_14_-27,CA,WIND,0.0
AE,CAN_W_14_-28,CA,WIND,0.0
AE,CAN_W_15_-22,CA,WIND,0.0
AE,CAN_W_15_-24,CA,WIND,0.005230589243661783
AE,CAN_W_16_-22,CA,WIND,0.008058750393730899
AE,CAN_W_16_-23,CA,WIND,0.0
AE,CAN_W_16_-38,CA,WIND,0.002974931380730065
AE,CAN_W_17_-38,CA,WIND,0.0
AE,CAN_W_18_-41,CA,WIND,0.00604656939242834
AE,CHE_S_15_2,CH,PV,0.0
AE,CHL_S_-10_-24,CL,PV,0.0
AE,CHL_S_-12_-24,CL,PV,0.03925657966331581
AE,CHL_S_-7_-24,CL,PV,0.0
AE,CHL_S_-8_-23,CL,PV,0.0
AE,CHL_S_-8_-24,CL,PV,0.0
AE,CHL_S_-9_-24,CL,PV,0.029828343677685016
AE,CHL_W_-11_-24,CL,WIND,0.0
AE,CHN_S_10_37,CN,PV,0.0
AE,CHN_S_10_38,CN,PV,0.0
AE,CHN_S_10_39,CN,PV,0.0
AE,CHN_S_10_40,CN,PV,0.0
AE,CHN_S_11_37,CN,PV,0.0
AE,CHN_S_11_38,CN,PV,0.0
AE,CHN_S_11_39,CN,PV,0.0
AE,CHN_S_11_40,CN,PV,0.0
AE,CHN_S_12_25,CN,PV,0.0
AE,CHN_S_12_26,CN,PV,0.0
AE,CHN_S_12_31,CN,PV,0.0
AE,CHN_S_12_32,CN,PV,0.01389674688741864
AE,CHN_S_12_33,CN,PV,0.0
AE,CHN_S_12_34,CN,PV,0.006603649485052786
AE,CHN_S_12_35,CN,PV,0.0
AE,CHN_S_12_36,CN,PV,0.0
AE,CHN_S_12_37,CN,PV,0.0
AE,CHN_S_12_38,CN,PV,0.0
AE,CHN_S_12_39,CN,PV,0.0
AE,CHN_S_13_26,CN,PV,0.0
AE,CHN_S_13_28,CN,PV,0.0
AE,CHN_S_13_31,CN,PV,0.0
AE,CHN_S_13_32,CN,PV,0.0
AE,CHN_S_13_33,CN,PV,0.0
AE,CHN_S_13_35,CN,PV,0.0
AE,CHN_S_13_36,CN,PV,0.0
AE,CHN_S_13_37,CN,PV,0.0
AE,CHN_S_13_38,CN,PV,0.0
