country,region,n_home_stations,n_partners,dom_nnls,dom_lp,rt_nnls,rt_lp
AE,Asia-Pacific,1,38,0.5016482664353473,0.5016482664353473,0.09410412668232168,0.09223008648817634
AF,Asia-Pacific,1,39,0.4974952908985689,0.4974952908985689,0.12586695731082073,0.12228009991432662
AR,Latin America,2,39,0.26474359559921723,0.2644105376891956,0.13224567201450124,0.13074418449637204
AT,Europe,1,38,0.44505568214972374,0.4450556821497237,0.1857966002807493,0.18182257855131354
AU,Asia-Pacific,12,38,0.21540460530012528,0.21459900175455227,0.09551919279720335,0.09239829706131492
BD,Asia-Pacific,1,39,0.5850918337033318,0.5850918337033318,0.12280138250231044,0.11664864686842177
BE,Europe,2,38,0.23921350849321044,0.23888522112058935,0.11856165923989184,0.1187697305163779
BF,Africa/MENA,1,39,0.4907722148681151,0.4907722148681151,0.13923893254113517,0.13764296035245852
BG,Europe,2,39,0.3177164205045629,0.31698931935317304,0.12749541841200082,0.1226473749501295
BH,Asia-Pacific,1,38,0.5494404107159028,0.5494404107159028,0.10687033215212816,0.10411724904395543
BI,Africa/MENA,1,39,0.46588417772590635,0.46588417772590635,0.10483048305125799,0.10433978226962826
BO,Latin America,1,39,0.48485296615477963,0.48485296615477963,0.13065352140943584,0.12969080185069196
BR,Latin America,15,38,0.17179141067903717,0.17147487640863113,0.09124689944634652,0.09095366529259012
BY,Europe,1,39,0.5466057041693771,0.5466057041693771,0.15011747748619683,0.1472140990029665
CA,North America,12,38,0.1874465053056115,0.18686404286814773,0.09183141946931325,0.0905800002222137
CH,Europe,1,38,0.517883765909733,0.517883765909733,0.1511027550678056,0.1465810416219336
CL,Latin America,7,38,0.29787078298388703,0.2972824675151435,0.13497721969662274,0.1351031288766447
CN,Asia-Pacific,75,38,0.11943467542819228,0.11901446630131796,0.06400290212964183,0.06327692534216278
CO,Latin America,1,39,0.46542910477484,0.46542910477484,0.12216003730345235,0.12148969694785668
CR,North America,1,39,0.49597137817347986,0.49597137817347986,0.10288796055923129,0.10221086788164281
CU,North America,2,39,0.28487066467128824,0.2845472063248665,0.12372405731271865,0.1237053417153848
CV,Africa/MENA,1,39,0.44658761159373195,0.44658761159373195,0.16218009275878187,0.15934920135421768
CZ,Europe,2,39,0.5233920215890386,0.5233919594671299,0.14440370412035763,0.14051037125863292
DE,Europe,12,38,0.22140987499296375,0.22137250840662215,0.10350228760268768,0.10132936781358146
DK,Europe,3,38,0.23880854805353768,0.2382152812147834,0.11378215902635011,0.11398643179842445
DO,North America,2,39,0.3254059022887916,0.32302784396386075,0.1303243051404118,0.1323234867559331
DZ,Africa/MENA,1,39,0.5386810553288525,0.5386810553288525,0.14082098627099796,0.13841640198831584
EC,Latin America,1,39,0.48862737148743557,0.48862737148743574,0.12477719956499597,0.12369462894538438
EE,Europe,1,39,0.37952174852382253,0.3795217485238225,0.1764778547082987,0.17245001571486032
EG,Africa/MENA,2,38,0.2616909103895914,0.26062902674987354,0.1331377156831039,0.12493654047510533
ES,Europe,12,38,0.2308198649156162,0.23025716439256438,0.11294675389935552,0.11206613289785
ET,Africa/MENA,1,39,0.36383016938544155,0.36383016938544155,0.1701223833409056,0.1642313198960706
FI,Europe,1,38,0.4072480778416624,0.4072480778416624,0.19317554227458275,0.19103918098720468
FJ,Asia-Pacific,1,39,0.474949713986408,0.474949713986408,0.21239169833121455,0.21073328406429861
FR,Europe,17,38,0.21914707013590165,0.2186054137087044,0.1029158733763658,0.10187466935047648
GB,Europe,16,38,0.19615258101429697,0.19597687200864045,0.08643517129943405,0.08490577837015245
GF,Latin America,1,39,0.4977273490970263,0.4977273490970263,0.18041986010024086,0.17699067049858405
GH,Africa/MENA,1,39,0.49395205691706934,0.49395205691706934,0.12013772303688097,0.11938663786859242
GR,Europe,2,38,0.39195539280352415,0.3865911899401759,0.134140176391599,0.13233202790169316
GT,North America,2,39,0.3743799125630104,0.3670245935213828,0.11203171449220799,0.11430518676395598
HN,North America,2,39,0.3407928229263081,0.33634111662768224,0.11758537845903612,0.11795966064038768
HU,Europe,1,39,0.5329625090490686,0.5329625090490686,0.14640148285652055,0.14111325402815658
ID,Asia-Pacific,2,38,0.40305491096788015,0.3847300037333982,0.13571944456025967,0.1394086177954458
IE,Europe,2,38,0.32615478578741214,0.3260775633592067,0.1706246979193465,0.1680764216288597
IL,Asia-Pacific,2,38,0.42940004243854957,0.4121624234656638,0.11209296551781182,0.11874451601470137
IN,Asia-Pacific,28,38,0.22474162327426095,0.22319567533275425,0.1036115480202129,0.10223733951036995
IR,Asia-Pacific,2,39,0.4633732794541407,0.4606355141629493,0.2298648274519961,0.22040403691890256
IT,Europe,4,38,0.3927024446516287,0.39062329592901995,0.13389063447734523,0.13365917842686303
