demand_country,supply_country,tech,weight,is_home
AE,AE,PV,0.0,True
AE,AF,PV,0.0,False
AE,AQ,WIND,0.0,False
AE,AR,PV,0.0,False
AE,AR,WIND,0.0,False
AE,AT,WIND,0.003926478287306522,False
AE,AU,PV,0.008407677432519826,False
AE,AU,WIND,0.01117901184388298,False
AE,BD,PV,0.0,False
AE,BE,PV,0.0,False
AE,BE,WIND,0.0,False
AE,BF,PV,0.0,False
AE,BG,PV,0.0,False
AE,BG,WIND,0.0,False
AE,BH,PV,0.0,False
AE,BI,PV,0.0,False
AE,BO,PV,0.0,False
AE,BR,PV,0.0,False
AE,BR,WIND,0.005831599231138228,False
AE,BY,PV,0.0,False
AE,CA,PV,0.006375746261852301,False
AE,CA,WIND,0.022310840410551085,False
AE,CH,PV,0.0,False
AE,CL,PV,0.06908492334100083,False
AE,CL,WIND,0.0,False
AE,CN,PV,0.020500396372471426,False
AE,CN,WIND,0.060458714330689445,False
AE,CO,PV,0.0,False
AE,CR,PV,0.00970416673033108,False
AE,CU,PV,0.0,False
AE,CU,WIND,0.0043765622990189785,False
AE,CV,PV,0.043101645596411685,False
AE,CZ,PV,0.0,False
AE,DE,PV,0.0,False
AE,DE,WIND,0.023680301298357513,False
AE,DK,PV,0.0,False
AE,DK,WIND,0.0,False
AE,DO,PV,0.0,False
AE,DO,WIND,0.006683637417254475,False
AE,DZ,PV,0.0,False
AE,EC,PV,0.0,False
AE,EE,WIND,0.0028050247213704874,False
AE,EG,PV,0.0,False
AE,EG,WIND,0.0,False
AE,ES,PV,0.0,False
AE,ES,WIND,0.01015901125456477,False
AE,ET,WIND,0.0,False
AE,FI,WIND,0.0,False
AE,FJ,WIND,0.010461110462184226,False
AE,FR,PV,0.0,False
AE,FR,WIND,0.025819884017646087,False
AE,GB,PV,0.0,False
AE,GB,WIND,0.012964380756900089,False
AE,GF,PV,0.008504191450954417,False
AE,GH,PV,0.02034568408353999,False
AE,GR,PV,0.0,False
AE,GR,WIND,0.0,False
AE,GT,PV,0.0,False
AE,GT,WIND,0.006934317278859107,False
AE,HN,PV,0.007428659718569809,False
AE,HN,WIND,0.0,False
AE,HU,PV,0.0,False
AE,ID,PV,0.009528555035501388,False
AE,ID,WIND,0.0,False
AE,IE,WIND,0.0009186563280625616,False
AE,IL,PV,0.0,False
AE,IL,WIND,0.0,False
AE,IN,PV,0.07711496866854395,False
AE,IN,WIND,0.003544018902570609,False
AE,IR,PV,0.0,False
AE,IR,WIND,0.0,False
AE,IT,PV,0.0,False
AE,IT,WIND,0.0,False
AE,JM,PV,0.0,False
AE,JM,WIND,0.007143578585745563,False
AE,JO,PV,0.0,False
AE,JP,PV,0.0,False
AE,JP,WIND,0.006350054004205691,False
AE,KE,PV,0.032373324119190326,False
AE,KE,WIND,0.0,False
AE,KH,PV,0.0,False
AE,KR,PV,0.0,False
AE,KR,WIND,0.003783873393496081,False
AE,KW,PV,0.0,False
AE,KZ,PV,0.0,False
AE,LC,PV,0.0,False
AE,LK,PV,0.0,False
AE,LK,WIND,0.0,False
AE,LY,PV,0.0,False
AE,LY,WIND,0.0,False
AE,MA,PV,0.0,False
AE,MA,WIND,0.0,False
AE,MG,PV,0.006395899889643763,False
AE,MM,PV,0.0,False
AE,MN,PV,0.0,False
AE,MN,WIND,0.0,False
AE,MR,PV,0.0,False
AE,MR,WIND,0.01142369222128443,False
AE,MU,PV,0.04510341148570552,False
AE,MX,PV,0.0,False
AE,MX,WIND,0.0,False
AE,MY,PV,0.0,False
AE,NE,PV,0.017584277626871377,False
AE,NG,PV,0.0,False
AE,NI,PV,0.0,False
AE,NL,PV,0.0,False
AE,NL,WIND,0.0,False
AE,NO,WIND,0.0,False
AE,NP,PV,0.012223703720859163,False
AE,NZ,WIND,0.01009781874057311,False
AE,OM,PV,0.04950867953304494,False
AE,PA,PV,0.0,False
AE,PE,PV,0.03745159561608134,False
AE,PE,WIND,0.0,False
AE,PH,PV,0.0,False
AE,PH,WIND,0.03523982621498584,False
AE,PK,PV,0.0,False
AE,PK,WIND,0.0,False
AE,PL,PV,0.0,False
AE,PL,WIND,0.0035516172078879048,False
AE,PS,PV,0.0,False
AE,PT,PV,0.0,False
AE,PT,WIND,0.005441959914189375,False
AE,PY,PV,0.01796140970808492,False
AE,PY,WIND,0.0,False
AE,RO,PV,0.0,False
AE,RO,WIND,0.0035091155827821764,False
AE,RU,PV,0.0,False
AE,RU,WIND,0.0,False
AE,RW,PV,0.0,False
AE,SA,PV,0.0,False
AE,SE,WIND,0.0,False
AE,SK,PV,0.0,False
AE,SN,PV,0.015849186238033268,False
AE,SR,PV,0.00014233280956651797,False
AE,SV,PV,0.0,False
AE,TH,PV,0.0,False
AE,TH,WIND,0.0,False
AE,TN,WIND,0.0,False
AE,TR,PV,0.0,False
AE,TR,WIND,0.0,False
AE,TW,PV,0.0,False
AE,TW,WIND,0.0,False
AE,UA,PV,0.0,False
AE,UG,PV,0.0,False
AE,US,PV,0.06511571058188158,False
AE,US,WIND,0.07509590274848937,False
AE,UY,PV,0.013352881827808723,False
AE,UY,WIND,0.0,False
AE,UZ,PV,0.0,False
AE,VN,PV,0.0,False
AE,VN,WIND,0.0,False
AE,ZA,PV,0.02111299947916647,False
AE,ZA,WIND,0.012036985218367617,False
AE,ZM,PV,0.0,False
AE,nan,PV,0.0,False
AF,AE,PV,0.029200803711405484,False
AF,AF,PV,0.0,True
AF,AQ,WIND,0.0,False
AF,AR,PV,0.0,False
AF,AR,WIND,0.0,False
AF,AT,WIND,0.0,False
AF,AU,PV,0.0,False
AF,AU,WIND,0.004801104749403832,False
AF,BD,PV,0.0,False
AF,BE,PV,0.0,False
AF,BE,WIND,0.0,False
AF,BF,PV,0.0,False
AF,BG,PV,0.0,False
AF,BG,WIND,0.0,False
AF,BH,PV,0.035485191233004476,False
AF,BI,PV,0.0,False
AF,BO,PV,0.0,False
AF,BR,PV,0.03217703046709927,False
AF,BR,WIND,0.01070308111792258,False
AF,BY,PV,0.0,False
AF,CA,PV,0.009289785067262815,False
AF,CA,WIND,0.017430288877001474,False
AF,CH,PV,0.0,False
AF,CL,PV,0.017698484899272178,False
AF,CL,WIND,0.0,False
AF,CN,PV,0.12186424072221091,False
AF,CN,WIND,0.05491299673685101,False
AF,CO,PV,0.0,False
AF,CR,PV,0.0,False
AF,CU,PV,0.013056609470758391,False
AF,CU,WIND,0.0,False
AF,CV,PV,0.10979520775526992,False
AF,CZ,PV,0.0,False
AF,DE,PV,0.0,False
AF,DE,WIND,0.03437260720123741,False
AF,DK,PV,0.0,False
AF,DK,WIND,0.0,False
AF,DO,PV,0.0,False
AF,DO,WIND,0.012587667438939364,False
AF,DZ,PV,0.0,False
AF,EC,PV,0.0,False
AF,EE,WIND,0.0,False
AF,EG,PV,0.0,False
AF,EG,WIND,0.0,False
AF,ES,PV,0.0,False
AF,ES,WIND,0.014750036224945421,False
AF,ET,WIND,0.0,False
AF,FI,WIND,0.0,False
AF,FJ,WIND,0.01794674500556487,False
AF,FR,PV,0.0,False
AF,FR,WIND,0.013587815607882504,False
AF,GB,PV,0.0,False
AF,GB,WIND,0.0,False
AF,GF,PV,0.0033377320704130473,False
AF,GH,PV,0.0,False
AF,GR,PV,0.0,False
AF,GR,WIND,0.0,False
AF,GT,PV,0.0,False
AF,GT,WIND,0.0,False
AF,HN,PV,0.001336815070560637,False
AF,HN,WIND,0.0,False
AF,HU,PV,0.0,False
AF,ID,PV,0.0,False
AF,ID,WIND,0.0,False
AF,IE,WIND,0.0,False
AF,IL,PV,0.0,False
AF,IL,WIND,0.0,False
AF,IN,PV,0.07989791493070308,False
AF,IN,WIND,0.04413985463567134,False
AF,IR,PV,0.0,False
AF,IR,WIND,0.005139986445819918,False
AF,IT,PV,0.0,False
AF,IT,WIND,0.0,False
AF,JM,PV,0.0,False
AF,JM,WIND,0.03654014889186418,False
AF,JO,PV,0.0,False
AF,JP,PV,0.007263755696678574,False
AF,JP,WIND,0.006179108313230109,False
AF,KE,PV,0.0,False
AF,KE,WIND,0.0,False
AF,KH,PV,0.0,False
AF,KR,PV,0.0,False
AF,KR,WIND,0.0,False
AF,KW,PV,0.0,False
AF,KZ,PV,0.004078343038388108,False
AF,LC,PV,0.011920156328889719,False
AF,LK,PV,0.0,False
AF,LK,WIND,0.0,False
AF,LY,PV,0.0,False
AF,LY,WIND,0.0,False
AF,MA,PV,0.0,False
AF,MA,WIND,0.0,False
AF,MG,PV,0.0,False
AF,MM,PV,0.0,False
AF,MN,PV,0.0,False
AF,MN,WIND,0.0,False
AF,MR,PV,0.0,False
AF,MR,WIND,0.005268951972304879,False
AF,MU,PV,0.0,False
AF,MX,PV,0.0,False
AF,MX,WIND,0.0,False
AF,MY,PV,0.0,False
AF,NE,PV,0.0,False
AF,NG,PV,0.0,False
AF,NI,PV,0.0,False
AF,NL,PV,0.0,False
AF,NL,WIND,0.0,False
AF,NO,WIND,0.0,False
AF,NP,PV,0.010175910079266643,False
AF,NZ,WIND,0.0,False
AF,OM,PV,0.0,False
AF,PA,PV,0.0024281034842706484,False
AF,PE,PV,0.0,False
AF,PE,WIND,0.0,False
AF,PH,PV,0.0,False
AF,PH,WIND,8.35574944682861e-05,False
AF,PK,PV,0.0,False
AF,PK,WIND,0.0,False
AF,PL,PV,0.0,False
AF,PL,WIND,0.004844602288711628,False
AF,PS,PV,0.0,False
AF,PT,PV,0.0,False
AF,PT,WIND,0.0021826251062891946,False
AF,PY,PV,0.0,False
AF,PY,WIND,0.0,False
AF,RO,PV,0.0,False
AF,RO,WIND,0.003621368562791445,False
AF,RU,PV,0.005488280076946737,False
AF,RU,WIND,0.0,False
AF,RW,PV,0.0,False
AF,SA,PV,0.0,False
AF,SE,WIND,0.0,False
AF,SK,PV,0.0,False
AF,SN,PV,0.025144064154350526,False
AF,SR,PV,0.0,False
AF,SV,PV,0.0,False
AF,TH,PV,0.0,False
AF,TH,WIND,0.0,False
AF,TN,WIND,0.0,False
AF,TR,PV,0.0,False
AF,TR,WIND,0.0,False
AF,TW,PV,0.0,False
AF,TW,WIND,0.0,False
AF,UA,PV,0.0,False
AF,UG,PV,0.0,False
AF,US,PV,0.10429161519901467,False
AF,US,WIND,0.043640024051867905,False
AF,UY,PV,0.015807360798543803,False
AF,UY,WIND,0.0,False
AF,UZ,PV,0.012986815771194206,False
AF,VN,PV,0.0,False
AF,VN,WIND,0.0,False
AF,ZA,PV,0.0,False
AF,ZA,WIND,0.014543209251728747,False
AF,ZM,PV,0.0,False
AF,nan,PV,0.0,False
AR,AE,PV,0.0,False
AR,AF,PV,0.0,False
AR,AQ,WIND,0.0,False
AR,AR,PV,0.0,True
AR,AR,WIND,0.0,True
AR,AT,WIND,0.0,False
AR,AU,PV,0.1354995356143005,False
AR,AU,WIND,0.0,False
AR,BD,PV,0.0,False
AR,BE,PV,0.0,False
AR,BE,WIND,0.0,False
AR,BF,PV,0.0,False
AR,BG,PV,0.0,False
AR,BG,WIND,0.0,False
AR,BH,PV,0.0,False
AR,BI,PV,0.0,False
AR,BO,PV,0.0,False
AR,BR,PV,0.03829667102674931,False
AR,BR,WIND,0.0006479740822084932,False
AR,BY,PV,0.0,False
AR,CA,PV,0.0,False
AR,CA,WIND,0.016419621594943506,False
AR,CH,PV,0.0,False
AR,CL,PV,0.05340347528105974,False
AR,CL,WIND,0.001365634227234314,False
AR,CN,PV,0.0,False
AR,CN,WIND,0.018455124222885737,False
AR,CO,PV,0.0,False
AR,CR,PV,0.009321035405260851,False
AR,CU,PV,0.0,False
AR,CU,WIND,0.0,False
AR,CV,PV,0.06715535819909596,False
AR,CZ,PV,0.0,False
AR,DE,PV,0.0,False
AR,DE,WIND,0.0,False
AR,DK,PV,0.0,False
AR,DK,WIND,0.0,False
AR,DO,PV,0.0,False
AR,DO,WIND,0.0,False
