country,region,continent,dist_ring,dist_km,grace_h,phi,uncovered_share,uncovered_share_baseline,uncovered_share_temporal_only,migrated_share,deferred_share
AE,Asia-Pacific,Asia,D0,0.0,0,0.4,0.5016482664353474,0.5016482664353474,0.5016482664353474,0.0,0.0
AE,Asia-Pacific,Asia,D1,500.0,0,0.4,0.5016482664353474,0.5016482664353474,0.5016482664353474,0.0,0.0
AE,Asia-Pacific,Asia,D2,3000.0,0,0.4,0.4595056958407514,0.5016482664353474,0.5016482664353474,0.09145054075634258,0.0
AE,Asia-Pacific,Asia,D3,,0,0.4,0.3187531001209496,0.5016482664353474,0.5016482664353474,0.3189130865365411,0.0
AE,Asia-Pacific,Asia,D0,0.0,1,0.4,0.4888420558149542,0.5016482664353474,0.4888420558149542,0.0,0.02847818106970001
AE,Asia-Pacific,Asia,D1,500.0,1,0.4,0.4888420558149542,0.5016482664353474,0.4888420558149542,0.0,0.02847818106970001
AE,Asia-Pacific,Asia,D2,3000.0,1,0.4,0.4557201462158982,0.5016482664353474,0.4888420558149542,0.07457857490082481,0.02847818106970001
AE,Asia-Pacific,Asia,D3,,1,0.4,0.32524537277970783,0.5016482664353474,0.4888420558149542,0.3036987257248205,0.02847818106970001
AE,Asia-Pacific,Asia,D0,0.0,3,0.4,0.47188295433704797,0.5016482664353474,0.47188295433704797,0.0,0.07372937581879396
AE,Asia-Pacific,Asia,D1,500.0,3,0.4,0.47188295433704797,0.5016482664353474,0.47188295433704797,0.0,0.07372937581879396
AE,Asia-Pacific,Asia,D2,3000.0,3,0.4,0.4388686398221027,0.5016482664353474,0.47188295433704797,0.07317577157326244,0.07372937581879396
AE,Asia-Pacific,Asia,D3,,3,0.4,0.31610192161682893,0.5016482664353474,0.47188295433704797,0.29215824119902684,0.07372937581879396
AE,Asia-Pacific,Asia,D0,0.0,6,0.4,0.4492601454021779,0.5016482664353474,0.4492601454021779,0.0,0.12785738633089927
AE,Asia-Pacific,Asia,D1,500.0,6,0.4,0.4492601454021779,0.5016482664353474,0.4492601454021779,0.0,0.12785738633089927
AE,Asia-Pacific,Asia,D2,3000.0,6,0.4,0.4102213779258215,0.5016482664353474,0.4492601454021779,0.08169756632841575,0.12785738633089927
AE,Asia-Pacific,Asia,D3,,6,0.4,0.29448137627090887,0.5016482664353474,0.4492601454021779,0.2795770171063657,0.12785738633089927
AE,Asia-Pacific,Asia,D0,0.0,12,0.4,0.3555854379087916,0.5016482664353474,0.3555854379087916,0.0,0.18417989763725737
AE,Asia-Pacific,Asia,D1,500.0,12,0.4,0.3555854379087916,0.5016482664353474,0.3555854379087916,0.0,0.18417989763725737
AE,Asia-Pacific,Asia,D2,3000.0,12,0.4,0.3132155673978545,0.5016482664353474,0.3555854379087916,0.0765389803200824,0.18417989763725737
