sender_country,receiver_country,weight,recv_lon,recv_lat,send_lon,send_lat
AE,EG,0.026932331760754245,32.667,26.551,55.368,24.754
AE,IL,0.00828209479381864,34.764,31.223,55.368,24.754
AE,IN,0.020206682924333072,76.129,19.557,55.368,24.754
AE,KW,0.0030415943399309565,47.71,28.89,55.368,24.754
AE,SA,0.006534986576915994,38.795,31.62,55.368,24.754
AE,TR,0.025368965038563614,31.238,39.049,55.368,24.754
AF,BH,0.0025959221937762816,50.58,26.1,65.794,31.647
AF,IL,0.017043049460370115,34.764,31.223,65.794,31.647
AF,IN,0.02385339518225247,76.129,19.557,65.794,31.647
AF,KW,0.005692797537945352,47.71,28.89,65.794,31.647
AF,SA,0.014890075280151155,38.795,31.62,65.794,31.647
AR,CL,0.023410844399398726,-70.155,-26.329,-66.322,-29.598
AT,BE,0.0069381561170229495,3.208,51.542,16.843,48.085
AT,CH,0.02488614429891004,7.299,47.384,16.843,48.085
AT,DE,0.005583304622327385,10.674,52.577,16.843,48.085
AT,DK,0.009381889213269436,10.241,55.6,16.843,48.085
AT,EG,0.01291117114016642,32.667,26.551,16.843,48.085
AT,ES,0.016804823621204196,-3.72,40.031,16.843,48.085
AT,FI,0.020089837692623725,24.52,65.563,16.843,48.085
AT,FR,0.009026501267220195,2.152,46.853,16.843,48.085
AT,GB,0.013111265265550391,-2.227,53.821,16.843,48.085
AT,GR,0.016519071390783163,22.79,37.756,16.843,48.085
AT,IE,0.00812698487614158,-8.248,52.679,16.843,48.085
AT,IL,0.01980731367328557,34.764,31.223,16.843,48.085
AT,IT,0.01615974196296256,14.277,41.189,16.843,48.085
AT,NL,0.008909133774206749,4.945,52.875,16.843,48.085
AT,NO,0.028948268763429017,8.132,63.44,16.843,48.085
AT,PL,0.010150553445921051,17.38,53.213,16.843,48.085
AT,SA,0.030827870780192248,38.795,31.62,16.843,48.085
AT,SE,0.023484118294007726,16.282,63.654,16.843,48.085
AT,TR,0.013299511532512626,31.238,39.049,16.843,48.085
AU,NZ,0.060089321704241506,175.062,-40.949,144.154,-31.773
BD,CN,0.006334975253745798,108.792,38.61,92.256,20.982
BD,IN,0.027931716224584877,76.129,19.557,92.256,20.982
BD,MY,0.002354869117195067,101.67,2.751,92.256,20.982
BD,TH,0.007490822132081916,101.055,15.311,92.256,20.982
BD,TW,0.01391965364155989,120.945,23.682,92.256,20.982
BE,AT,0.008155368236853807,16.843,48.085,3.208,51.542
BE,CH,0.01066986407241666,7.299,47.384,3.208,51.542
BE,DE,0.002977448342365687,10.674,52.577,3.208,51.542
BE,DK,0.0071185306469232525,10.241,55.6,3.208,51.542
BE,ES,0.01264771157739529,-3.72,40.031,3.208,51.542
BE,FI,0.02092092356089265,24.52,65.563,3.208,51.542
BE,FR,0.0034643094683716857,2.152,46.853,3.208,51.542
BE,GB,0.0070492294034226,-2.227,53.821,3.208,51.542
BE,GR,0.011813883058936495,22.79,37.756,3.208,51.542
BE,IE,0.007046473531055808,-8.248,52.679,3.208,51.542
BE,IT,0.007890161020058394,14.277,41.189,3.208,51.542
BE,NL,0.004737745701546914,4.945,52.875,3.208,51.542
BE,NO,0.029739489922796205,8.132,63.44,3.208,51.542
BE,PL,0.006483632500655153,17.38,53.213,3.208,51.542
BE,SE,0.020427490036059575,16.282,63.654,3.208,51.542
BE,TR,0.011601850256133259,31.238,39.049,3.208,51.542
BF,ES,0.04942576905279624,-3.72,40.031,-1.637,12.307
BG,AT,0.00575045285802337,16.843,48.085,26.619,43.005
BG,BE,0.005003554182981233,3.208,51.542,26.619,43.005
BG,BH,0.006927246914560361,50.58,26.1,26.619,43.005
BG,CH,0.00970136120327204,7.299,47.384,26.619,43.005
BG,DE,0.004329363524361605,10.674,52.577,26.619,43.005
BG,DK,0.010679826232662979,10.241,55.6,26.619,43.005
BG,EG,0.0055200323791532524,32.667,26.551,26.619,43.005
BG,ES,0.012150257328356692,-3.72,40.031,26.619,43.005
BG,FI,0.021407287361607182,24.52,65.563,26.619,43.005
BG,FR,0.0071290598130967515,2.152,46.853,26.619,43.005
BG,GB,0.013132244285490105,-2.227,53.821,26.619,43.005
BG,GR,0.006013552711591694,22.79,37.756,26.619,43.005
BG,IE,0.009101153716538564,-8.248,52.679,26.619,43.005
BG,IL,0.0033867182857106664,34.764,31.223,26.619,43.005
BG,IT,0.004110119296306918,14.277,41.189,26.619,43.005
BG,KW,0.00619849157694296,47.71,28.89,26.619,43.005
BG,NL,0.00940407060138159,4.945,52.875,26.619,43.005
BG,NO,0.031195828818919656,8.132,63.44,26.619,43.005
BG,PL,0.0031279791549532416,17.38,53.213,26.619,43.005
BG,SA,0.006127679648372976,38.795,31.62,26.619,43.005
BG,SE,0.022627891830461825,16.282,63.654,26.619,43.005
BG,TR,0.003933754232088601,31.238,39.049,26.619,43.005
BH,EG,0.025286333878326458,32.667,26.551,50.58,26.1
BH,GR,0.031967140908228976,22.79,37.756,50.58,26.1
BH,IL,0.004928515902029015,34.764,31.223,50.58,26.1
BH,IN,0.026520194630838063,76.129,19.557,50.58,26.1
BH,KW,0.0021989141420852495,47.71,28.89,50.58,26.1
BH,SA,0.003083670235810002,38.795,31.62,50.58,26.1
BH,TR,0.024375256559026847,31.238,39.049,50.58,26.1
BI,ZA,0.02341887946740825,23.274,-30.622,30.03,-3.42
BO,BR,0.044381588052769226,-41.076,-10.964,-67.65,-20.75
BO,CL,0.023021201703558966,-70.155,-26.329,-67.65,-20.75
BY,AT,0.009111913627539108,16.843,48.085,31.385,53.38
BY,BE,0.008028075987103641,3.208,51.542,31.385,53.38
BY,CH,0.012390634490862692,7.299,47.384,31.385,53.38
BY,DE,0.005701996421920775,10.674,52.577,31.385,53.38
BY,DK,0.016903565031398157,10.241,55.6,31.385,53.38
BY,EG,0.00742045302721004,32.667,26.551,31.385,53.38
BY,ES,0.018995240263057413,-3.72,40.031,31.385,53.38
BY,FI,0.03363827273267964,24.52,65.563,31.385,53.38
BY,FR,0.011050773529070962,2.152,46.853,31.385,53.38
BY,GB,0.018941783994679447,-2.227,53.821,31.385,53.38
BY,GR,0.010219398428392755,22.79,37.756,31.385,53.38
BY,IE,0.01317310062752697,-8.248,52.679,31.385,53.38
BY,IL,0.00464201950209286,34.764,31.223,31.385,53.38
BY,IT,0.005876520559316389,14.277,41.189,31.385,53.38
BY,KW,0.007766974556185901,47.71,28.89,31.385,53.38
BY,NL,0.01357364021156495,4.945,52.875,31.385,53.38
BY,NO,0.04935608894492015,8.132,63.44,31.385,53.38
BY,PL,0.004964638692164801,17.38,53.213,31.385,53.38
BY,SA,0.008024221431464269,38.795,31.62,31.385,53.38
BY,SE,0.034066795455847586,16.282,63.654,31.385,53.38
BY,TR,0.007847131093983759,31.238,39.049,31.385,53.38
CA,US,0.02562800539726382,-99.818,37.615,-82.375,46.296
CH,AT,0.009002646461716998,16.843,48.085,7.299,47.384
CH,BE,0.007932669507943564,3.208,51.542,7.299,47.384
CH,DE,0.007996687233667144,10.674,52.577,7.299,47.384
CH,DK,0.018047158121409987,10.241,55.6,7.299,47.384
CH,ES,0.01571964073902436,-3.72,40.031,7.299,47.384
CH,FI,0.032073080001124514,24.52,65.563,7.299,47.384
CH,FR,0.011085255058050686,2.152,46.853,7.299,47.384
CH,GB,0.02058573690778787,-2.227,53.821,7.299,47.384
CH,GR,0.01261757409838013,22.79,37.756,7.299,47.384
CH,IE,0.011327400806164352,-8.248,52.679,7.299,47.384
CH,IL,0.014036765284893551,34.764,31.223,7.299,47.384
CH,IT,0.006572776197468454,14.277,41.189,7.299,47.384
CH,NL,0.016522153990419723,4.945,52.875,7.299,47.384
CH,NO,0.04522995078224673,8.132,63.44,7.299,47.384
CH,PL,0.008532723816004839,17.38,53.213,7.299,47.384
CH,SE,0.03324895569763116,16.282,63.654,7.299,47.384
CH,TR,0.013758540182179627,31.238,39.049,7.299,47.384
CN,JP,0.011905782977246739,136.251,35.764,108.792,38.61
CN,KR,0.009029889092314738,127.036,34.738,108.792,38.61
CN,TH,0.012222781455410526,101.055,15.311,108.792,38.61
CN,TW,0.009427484845494194,120.945,23.682,108.792,38.61
CR,MX,0.058290282696003455,-100.773,21.559,-84.505,10.58
CU,CA,0.05339945629100787,-82.375,46.296,-77.643,21.493
CU,MX,0.04293491519361919,-100.773,21.559,-77.643,21.493
CU,US,0.01754810580222866,-99.818,37.615,-77.643,21.493
CZ,AT,0.00707838738361874,16.843,48.085,15.394,49.636
CZ,BE,0.00684347030284988,3.208,51.542,15.394,49.636
CZ,CH,0.0035381254249643697,7.299,47.384,15.394,49.636
CZ,DE,0.006843699449558309,10.674,52.577,15.394,49.636
CZ,DK,0.016312217484308875,10.241,55.6,15.394,49.636
CZ,EG,0.009312308828027926,32.667,26.551,15.394,49.636
CZ,ES,0.016694599135349632,-3.72,40.031,15.394,49.636
CZ,FI,0.031188265211488507,24.52,65.563,15.394,49.636
CZ,FR,0.010263191259147287,2.152,46.853,15.394,49.636
CZ,GB,0.018817762184505753,-2.227,53.821,15.394,49.636
CZ,GR,0.009491604890536269,22.79,37.756,15.394,49.636
CZ,IE,0.010427854067677808,-8.248,52.679,15.394,49.636
CZ,IL,0.006254316705512081,34.764,31.223,15.394,49.636
CZ,IT,0.0045126588012505235,14.277,41.189,15.394,49.636
CZ,NL,0.015174565557181703,4.945,52.875,15.394,49.636
CZ,NO,0.046105987844407725,8.132,63.44,15.394,49.636
CZ,PL,0.0053696387058967685,17.38,53.213,15.394,49.636
CZ,SA,0.013499553634374084,38.795,31.62,15.394,49.636
CZ,SE,0.03294517545874929,16.282,63.654,15.394,49.636
CZ,TR,0.009078337872581776,31.238,39.049,15.394,49.636
DE,AT,0.006127934356591401,16.843,48.085,10.674,52.577
DE,BE,0.0028744369349658905,3.208,51.542,10.674,52.577
DE,CH,0.00966801453777475,7.299,47.384,10.674,52.577
DE,DK,0.0040071974855719035,10.241,55.6,10.674,52.577
DE,ES,0.012648576959640978,-3.72,40.031,10.674,52.577
DE,FI,0.019907761445941436,24.52,65.563,10.674,52.577
DE,FR,0.005189408887872243,2.152,46.853,10.674,52.577
DE,GB,0.008144416133498297,-2.227,53.821,10.674,52.577
DE,GR,0.010484206101583586,22.79,37.756,10.674,52.577
DE,IE,0.008274828144524736,-8.248,52.679,10.674,52.577
DE,IL,0.011123986189243786,34.764,31.223,10.674,52.577
DE,IT,0.006199107033477738,14.277,41.189,10.674,52.577
DE,NL,0.003829502640318666,4.945,52.875,10.674,52.577
DE,NO,0.02858016030154719,8.132,63.44,10.674,52.577
DE,PL,0.00400457878567005,17.38,53.213,10.674,52.577
DE,SE,0.020365103734008093,16.282,63.654,10.674,52.577
DE,TR,0.009329776856596412,31.238,39.049,10.674,52.577
DK,AT,0.007387802957407598,16.843,48.085,10.241,55.6
DK,BE,0.003795666903344494,3.208,51.542,10.241,55.6
DK,CH,0.011845320123089566,7.299,47.384,10.241,55.6
DK,DE,0.001739655007058478,10.674,52.577,10.241,55.6
DK,ES,0.012535013836866461,-3.72,40.031,10.241,55.6
DK,FI,0.018086248779485073,24.52,65.563,10.241,55.6
DK,FR,0.005952425284873386,2.152,46.853,10.241,55.6
DK,GB,0.010250719303819253,-2.227,53.821,10.241,55.6
DK,GR,0.013321998653662282,22.79,37.756,10.241,55.6
DK,IE,0.007588454892530894,-8.248,52.679,10.241,55.6
DK,IT,0.008351707235608232,14.277,41.189,10.241,55.6
DK,NL,0.0063328748572143,4.945,52.875,10.241,55.6
DK,NO,0.028364625203323356,8.132,63.44,10.241,55.6
DK,PL,0.006039950076607242,17.38,53.213,10.241,55.6
DK,SE,0.017962392998433628,16.282,63.654,10.241,55.6
DK,TR,0.013413159512338436,31.238,39.049,10.241,55.6
DO,MX,0.06933249183036162,-100.773,21.559,-71.027,18.764
DZ,AT,0.015620251946398768,16.843,48.085,4.173,34.769
DZ,BE,0.016178850676891714,3.208,51.542,4.173,34.769
DZ,CH,0.0023446660551125066,7.299,47.384,4.173,34.769
DZ,DE,0.014255389552988215,10.674,52.577,4.173,34.769
DZ,DK,0.037149040049679526,10.241,55.6,4.173,34.769
DZ,EG,0.011054445904705293,32.667,26.551,4.173,34.769
DZ,ES,0.013780143525037864,-3.72,40.031,4.173,34.769
DZ,FR,0.01574694900010819,2.152,46.853,4.173,34.769
DZ,GB,0.0265860806581059,-2.227,53.821,4.173,34.769
DZ,GR,0.011816576798523541,22.79,37.756,4.173,34.769
DZ,IE,0.01879398481419289,-8.248,52.679,4.173,34.769
DZ,IL,0.003507680938296415,34.764,31.223,4.173,34.769
DZ,IT,0.004433131775606375,14.277,41.189,4.173,34.769
DZ,NL,0.02797447885500032,4.945,52.875,4.173,34.769
DZ,PL,0.010790859620954552,17.38,53.213,4.173,34.769
