sender_country,receiver_country,weight,recv_lon,recv_lat,send_lon,send_lat
AE,AU,0.0351255506309482,144.154,-31.773,55.368,24.754
AE,CL,0.2750644410794025,-70.155,-26.329,55.368,24.754
AE,JP,0.010545764209335439,136.251,35.764,55.368,24.754
AE,MX,0.08680838383333966,-100.773,21.559,55.368,24.754
AF,CL,0.2567361165455834,-70.155,-26.329,65.794,31.647
AF,ES,0.0024251784774270307,-3.72,40.031,65.794,31.647
AF,JP,0.004123947732050665,136.251,35.764,65.794,31.647
AF,MX,0.018285415831552947,-100.773,21.559,65.794,31.647
AF,US,0.08889111925138533,-99.818,37.615,65.794,31.647
AR,AT,0.0018354366205926929,16.843,48.085,-66.322,-29.598
AR,AU,0.0726763863852799,144.154,-31.773,-66.322,-29.598
AR,GR,0.0015027346949182344,22.79,37.756,-66.322,-29.598
AR,IT,0.004129516375729187,14.277,41.189,-66.322,-29.598
AR,JP,0.03578978165101473,136.251,35.764,-66.322,-29.598
AR,MX,0.016564067857180998,-100.773,21.559,-66.322,-29.598
AT,BE,0.01406891718283539,3.208,51.542,16.843,48.085
AT,CL,0.0880569753062099,-70.155,-26.329,16.843,48.085
AT,EG,0.0021787602533679382,32.667,26.551,16.843,48.085
AT,IN,0.019761401052127522,76.129,19.557,16.843,48.085
AT,KW,0.017538864918073167,47.71,28.89,16.843,48.085
AT,MX,0.01577260155229794,-100.773,21.559,16.843,48.085
AT,NL,0.006087764783268406,4.945,52.875,16.843,48.085
AT,SA,0.045957428454391984,38.795,31.62,16.843,48.085
AT,ZA,0.0484965190664089,23.274,-30.622,16.843,48.085
AU,AE,0.018244168466875828,55.368,24.754,144.154,-31.773
AU,MX,0.015495726073060732,-100.773,21.559,144.154,-31.773
AU,NO,0.002574514076341481,8.132,63.44,144.154,-31.773
AU,SA,0.06835862935003413,38.795,31.62,144.154,-31.773
AU,ZA,0.013965948854674844,23.274,-30.622,144.154,-31.773
BD,BR,0.015983469183691416,-41.076,-10.964,92.256,20.982
BD,CH,0.02585766541211843,7.299,47.384,92.256,20.982
BD,CL,0.32163291657205617,-70.155,-26.329,92.256,20.982
BD,ES,0.06259813420042014,-3.72,40.031,92.256,20.982
BD,GB,0.006054653179865701,-2.227,53.821,92.256,20.982
BD,IL,0.004729851914327119,34.764,31.223,92.256,20.982
BD,MX,0.025433760738542536,-100.773,21.559,92.256,20.982
BE,AT,0.004431195361050902,16.843,48.085,3.208,51.542
BE,CL,0.04605719292234416,-70.155,-26.329,3.208,51.542
BE,IN,0.017562216464902365,76.129,19.557,3.208,51.542
BE,MX,0.04346953976546023,-100.773,21.559,3.208,51.542
BE,ZA,0.008118571620262473,23.274,-30.622,3.208,51.542
BF,AU,0.07640024645896584,144.154,-31.773,-1.637,12.307
BF,JP,0.019636509269583404,136.251,35.764,-1.637,12.307
BF,MX,0.2554965265984309,-100.773,21.559,-1.637,12.307
BG,CA,0.017970124572407035,-82.375,46.296,26.619,43.005
BG,CL,0.07884684480851209,-70.155,-26.329,26.619,43.005
BG,MX,0.08248223181598384,-100.773,21.559,26.619,43.005
