sender_country,receiver_country,weight,recv_lon,recv_lat,send_lon,send_lat
AE,AT,0.04785465016299383,16.843,48.085,55.368,24.754
AE,ES,0.07950764565671423,-3.72,40.031,55.368,24.754
AE,FI,0.026082472158486112,24.52,65.563,55.368,24.754
AE,IE,0.07551929024297911,-8.248,52.679,55.368,24.754
AE,NO,0.02061820349439782,8.132,63.44,55.368,24.754
AE,SE,0.03515831393277888,16.282,63.654,55.368,24.754
AF,AT,0.030558179419226374,16.843,48.085,65.794,31.647
AF,ES,0.13214539881963558,-3.72,40.031,65.794,31.647
AF,FI,0.01332451944605354,24.52,65.563,65.794,31.647
AF,IE,0.048855214359758634,-8.248,52.679,65.794,31.647
AF,NO,0.015367269476569112,8.132,63.44,65.794,31.647
AF,SE,0.029431768446624592,16.282,63.654,65.794,31.647
AR,BR,0.09409925808492653,-41.076,-10.964,-66.322,-29.598
AT,AE,0.008340042849818876,55.368,24.754,16.843,48.085
AT,BE,0.003869682207204336,3.208,51.542,16.843,48.085
AT,EG,0.06421466755575603,32.667,26.551,16.843,48.085
AT,ES,0.04997238423689246,-3.72,40.031,16.843,48.085
AT,FI,0.0124204253141566,24.52,65.563,16.843,48.085
AT,GB,0.003953259789185193,-2.227,53.821,16.843,48.085
AT,IE,0.00540073499913305,-8.248,52.679,16.843,48.085
AT,NL,0.07827814117718299,4.945,52.875,16.843,48.085
AT,NO,0.001502852839318298,8.132,63.44,16.843,48.085
AT,SE,0.013654291238283692,16.282,63.654,16.843,48.085
AU,ID,0.006384570582757951,118.0,-2.0,144.154,-31.773
AU,MY,0.023057737760682994,101.67,2.751,144.154,-31.773
AU,NZ,0.053248488523701384,175.062,-40.949,144.154,-31.773
BD,EG,0.12076587811451747,32.667,26.551,92.256,20.982
BD,IL,0.10938271664493407,34.764,31.223,92.256,20.982
BD,KR,0.024487565606810487,127.036,34.738,92.256,20.982
BD,TR,0.015170490324437725,31.238,39.049,92.256,20.982
BE,AT,0.008695784539329477,16.843,48.085,3.208,51.542
BE,CA,0.09969735661771756,-82.375,46.296,3.208,51.542
BE,NO,0.002585250259004126,8.132,63.44,3.208,51.542
BF,AT,0.05929978343415139,16.843,48.085,-1.637,12.307
BF,BR,0.08408314906993523,-41.076,-10.964,-1.637,12.307
BF,FI,0.02868756111334403,24.52,65.563,-1.637,12.307
BF,IE,0.040303330448595645,-8.248,52.679,-1.637,12.307
BF,NO,0.013083910778054157,8.132,63.44,-1.637,12.307
BF,SE,0.03726061721089066,16.282,63.654,-1.637,12.307
BG,AT,0.0182128406547593,16.843,48.085,26.619,43.005
BG,ES,0.023331467143186586,-3.72,40.031,26.619,43.005
BG,FI,0.019465101914808585,24.52,65.563,26.619,43.005
BG,IE,0.05417873857574043,-8.248,52.679,26.619,43.005
BG,NO,0.013444058331874037,8.132,63.44,26.619,43.005
BG,SE,0.013754564661640774,16.282,63.654,26.619,43.005
BH,AT,0.0684307753106364,16.843,48.085,50.58,26.1
BH,ES,0.04537379959026143,-3.72,40.031,50.58,26.1
BH,FI,0.03436089309934517,24.52,65.563,50.58,26.1
BH,IE,0.07942677821589707,-8.248,52.679,50.58,26.1
BH,NO,0.021914752185291018,8.132,63.44,50.58,26.1
BH,SE,0.05552624451939425,16.282,63.654,50.58,26.1
BI,AT,0.11904241318249133,16.843,48.085,30.03,-3.42
BI,NL,0.09858521461896426,4.945,52.875,30.03,-3.42
BI,PL,0.021920243260151438,17.38,53.213,30.03,-3.42
BO,BR,0.2122928915811241,-41.076,-10.964,-67.65,-20.75
BR,CL,0.059044003510198256,-70.155,-26.329,-41.076,-10.964
BY,AT,0.06711839128213838,16.843,48.085,31.385,53.38
BY,ES,0.029813686325259315,-3.72,40.031,31.385,53.38
BY,FI,0.056872338081073504,24.52,65.563,31.385,53.38
BY,IE,0.08830458459999345,-8.248,52.679,31.385,53.38
BY,NO,0.0324657091706457,8.132,63.44,31.385,53.38
BY,SE,0.02795963413377679,16.282,63.654,31.385,53.38
CA,FI,0.01909910431090522,24.52,65.563,-82.375,46.296
CA,IE,0.023585193700785993,-8.248,52.679,-82.375,46.296
CA,NO,0.0019003448338059904,8.132,63.44,-82.375,46.296
CA,PL,0.008245979144004875,17.38,53.213,-82.375,46.296
CA,SE,0.005445020108836427,16.282,63.654,-82.375,46.296
CA,US,0.016730987336165633,-99.818,37.615,-82.375,46.296
CH,AT,0.03126973042454729,16.843,48.085,7.299,47.384
CH,CA,0.23623594298986256,-82.375,46.296,7.299,47.384
CH,FI,0.018714299080520507,24.52,65.563,7.299,47.384
CH,IE,0.027370330845870365,-8.248,52.679,7.299,47.384
CH,NO,0.0031058572425607302,8.132,63.44,7.299,47.384
CH,SE,0.008291194298694368,16.282,63.654,7.299,47.384
CL,BR,0.11594363326403642,-41.076,-10.964,-70.155,-26.329
CN,FI,0.006420880841652357,24.52,65.563,108.792,38.61
CN,ID,0.004177377337861134,118.0,-2.0,108.792,38.61
CN,IL,0.020377359767378814,34.764,31.223,108.792,38.61
CN,JP,0.004339138812007379,136.251,35.764,108.792,38.61
CN,SE,0.009965821976598682,16.282,63.654,108.792,38.61
CN,TR,0.006598844501409596,31.238,39.049,108.792,38.61
CO,BR,0.09006517372733588,-41.076,-10.964,-73.765,9.69
CO,CA,0.09533911555357856,-82.375,46.296,-73.765,9.69
CO,US,0.036679633497271234,-99.818,37.615,-73.765,9.69
CR,BR,0.12992851816116036,-41.076,-10.964,-84.505,10.58
