year,lambda,lambda_inf,lambda_train,country,region,continent,perturbation,scenario,uncovered_share,annual_unmet_mwh_per_100mw,storage_cost_usd_yr_per_100mw_mid,storage_cost_usd_yr_per_100mw_low
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L0_W0,0.5016482664353474,439443.88139736437,63387305.267613105,45058445.91312257
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L0_W1,0.4763009736481514,417239.6529157806,60184470.34698922,42781731.93340198
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L0_W2,0.41961424497510114,367582.0785981886,53021644.88652471,37690084.91933684
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L0_W3,0.3187531001209496,279227.71570595185,40277025.58595145,28630656.74182091
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L1_W0,0.24164650533024498,211682.33866929458,30533985.31417876,21704881.126946352
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L1_W1,0.2188065574863672,191674.54435805767,27647973.6539295,19653378.862431817
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L1_W2,0.18259105084649388,159949.76054152864,23071852.238988306,16400473.27831699
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L1_W3,0.150270720433797,131637.15110000616,18987917.762791377,13497435.518128812
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L2_W0,0.17093065721788497,149735.25572286724,21598467.43945682,15353127.456963282
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L2_W1,0.14992216325730665,131331.81501340063,18943874.75172626,13466127.83556445
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L2_W2,0.12277002877957004,107546.54521090335,15512983.523819683,11027301.541028451
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L2_W3,0.1095030403460572,95924.66334314611,13836592.510266062,9835650.097659009
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L3_W0,0.06527464984884641,57180.59326758946,8247978.579905322,5863020.918245952
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L3_W1,0.051316345457819046,44953.118621049485,6484234.21826434,4609274.926236099
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L3_W2,0.046245365322830724,40510.94002279971,5843474.970541647,4153795.4609874357
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P0_baseline,L3_W3,0.046138222223676,40417.08266794018,5829936.575638585,4144171.78268285
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L0_W0,0.5144807721832368,450685.1564325155,65008795.88886037,46211071.77641882
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L0_W1,0.4891575376308369,428502.00296461314,61809000.92028109,43936518.72646488
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L0_W2,0.43198805076455754,378421.5324697524,54585175.06768505,38801509.98787251
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L0_W3,0.32888620906309357,288104.31913926994,41557425.64472138,29540820.639018815
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L1_W0,0.23203216830408682,203260.17943438006,29319136.271933854,20841313.73547105
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L1_W1,0.208838162856727,182942.23066249286,26388386.577297047,18758009.735668987
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L1_W2,0.17242243243998745,151042.050817429,21786965.272940822,15487119.892813358
2025,0.2,0.13,0.07,AE,Asia-Pacific,Asia,P1_flatten,L1_W3,0.14057482981777036,123143.55092036683,17762763.766572647,12626542.918407062
