year,parameter,variant,scenario,mean_uncovered_share,global_storage_cost_musd_yr_mid
2030,P2_peak_sigma,ci_high,L0_W0,0.34404742284297724,83018.69108839531
2030,P2_peak_sigma,ci_high,L3_W3,0.034497074577514976,8324.14890406295
2030,P2_peak_sigma,ci_low,L0_W0,0.3427944809767831,82716.35604143649
2030,P2_peak_sigma,ci_low,L3_W3,0.032707131991694685,7892.235508606421
2030,P2_peak_sigma,ci_mid,L0_W0,0.342534707859267,82653.67275197037
2030,P2_peak_sigma,ci_mid,L3_W3,0.03340223319536124,8059.963525940537
2030,Pmix_weights,default_25_65_10,L0_W0,0.3310995037734882,79894.35641213167
2030,Pmix_weights,default_25_65_10,L3_W3,0.03165874575775977,7639.259764224541
2030,Pmix_weights,more_batch_35_55_10,L0_W0,0.3273221726947519,78982.88589631465
2030,Pmix_weights,more_batch_35_55_10,L3_W3,0.03107035945589034,7497.282067568939
2030,Pmix_weights,more_burst_15_70_15,L0_W0,0.33530017247182947,80907.9783545679
2030,Pmix_weights,more_burst_15_70_15,L3_W3,0.032310578907208835,7796.547194044894
2030,gamma,default_g4.84,L0_W0,0.32615450822348724,78701.12829663904
2030,gamma,default_g4.84,L3_W3,0.0521470829844396,12583.098392868762
2030,gamma,stylized_g3,L0_W0,0.32182292562007275,77655.91681066068
2030,gamma,stylized_g3,L3_W3,0.04938888351230457,11917.544475780243
2030,gamma,upper_g6,L0_W0,0.3289049001583224,79364.79825388882
2030,gamma,upper_g6,L3_W3,0.054352729657625165,13115.321242551054
2030,lambda_inf_band,lambda_inf_high,L0_W0,0.3286510128155001,79303.53520267672
2030,lambda_inf_band,lambda_inf_high,L3_W3,0.054138485629892985,13063.62412879605
2030,lambda_inf_band,lambda_inf_low,L0_W0,0.32252207095503527,77824.6206774402
2030,lambda_inf_band,lambda_inf_low,L3_W3,0.04976147107030853,12007.44990546116
2030,lambda_inf_band,lambda_inf_mid,L0_W0,0.32615450822348724,78701.12829663904
2030,lambda_inf_band,lambda_inf_mid,L3_W3,0.0521470829844396,12583.098392868762
