year,parameter,variant,country,scenario,uncovered_share,storage_cost_usd_yr_per_100mw_mid
2030,gamma,stylized_g3,AE,L0_W0,0.3349618313351725,36907003.00964913
2030,gamma,stylized_g3,AE,L3_W3,0.04259424432542257,4693149.35748332
2030,gamma,stylized_g3,AF,L0_W0,0.33694045575107406,37125013.21392095
2030,gamma,stylized_g3,AF,L3_W3,0.06788662971811142,7479932.9742564205
2030,gamma,stylized_g3,AR,L0_W0,0.2660278384884417,29311668.72538055
2030,gamma,stylized_g3,AR,L3_W3,0.04181482218553719,4607270.512279156
2030,gamma,stylized_g3,AT,L0_W0,0.32445272922573465,35749081.63802387
2030,gamma,stylized_g3,AT,L3_W3,0.044795058907868425,4935641.07689577
2030,gamma,stylized_g3,AU,L0_W0,0.23720711470867686,26136123.2160903
2030,gamma,stylized_g3,AU,L3_W3,0.04688229802163136,5165618.743146418
2030,gamma,stylized_g3,BD,L0_W0,0.3722164583914784,41011818.85511367
2030,gamma,stylized_g3,BD,L3_W3,0.05102709933229635,5622304.192462707
2030,gamma,stylized_g3,BE,L0_W0,0.2333156419208438,25707350.19045918
2030,gamma,stylized_g3,BE,L3_W3,0.04627409766501627,5098605.578384963
2030,gamma,stylized_g3,BF,L0_W0,0.3416657059797903,37645654.09923445
2030,gamma,stylized_g3,BF,L3_W3,0.05657151184253236,6233202.599562889
2030,gamma,stylized_g3,BG,L0_W0,0.3182990236997853,35071049.67401944
2030,gamma,stylized_g3,BG,L3_W3,0.04318481858065249,4758220.430591295
2030,gamma,stylized_g3,BH,L0_W0,0.353489320968909,38948412.06496723
2030,gamma,stylized_g3,BH,L3_W3,0.05284388593131554,5822482.667158223
2030,gamma,stylized_g3,BI,L0_W0,0.3894902733526055,42915094.63497563
2030,gamma,stylized_g3,BI,L3_W3,0.05270808226445132,5807519.450836826
2030,gamma,stylized_g3,BO,L0_W0,0.3870963246101319,42651322.87002187
2030,gamma,stylized_g3,BO,L3_W3,0.05009114136808613,5519177.805601493
2030,gamma,stylized_g3,BR,L0_W0,0.19632258572781858,21631354.93210408
2030,gamma,stylized_g3,BR,L3_W3,0.04042562314580197,4454204.794504266
2030,gamma,stylized_g3,BY,L0_W0,0.32469535277111733,35775814.558261245
2030,gamma,stylized_g3,BY,L3_W3,0.07977801643227289,8790158.2124547
2030,gamma,stylized_g3,CA,L0_W0,0.19650744976014198,21651723.75254592
2030,gamma,stylized_g3,CA,L3_W3,0.041946590576556475,4621789.110964088
2030,gamma,stylized_g3,CH,L0_W0,0.39721892169854284,43766658.07020956
2030,gamma,stylized_g3,CH,L3_W3,0.051325338804197894,5655165.026317095
2030,gamma,stylized_g3,CL,L0_W0,0.30834476872617883,33974262.864593096
2030,gamma,stylized_g3,CL,L3_W3,0.044941655310671354,4951793.466133328
2030,gamma,stylized_g3,CN,L0_W0,0.15094547964944313,16631582.319420986
2030,gamma,stylized_g3,CN,L3_W3,0.039307576777578165,4331015.41345603
2030,gamma,stylized_g3,CO,L0_W0,0.3932366458924096,43327880.121759824
2030,gamma,stylized_g3,CO,L3_W3,0.038546626227330655,4247171.818094037
2030,gamma,stylized_g3,CR,L0_W0,0.3821007921897427,42100901.559811115
2030,gamma,stylized_g3,CR,L3_W3,0.03537800713508974,3898044.773058421
2030,gamma,stylized_g3,CU,L0_W0,0.2884953595072442,31787201.124266226
2030,gamma,stylized_g3,CU,L3_W3,0.046145224743191035,5084406.010348486
2030,gamma,stylized_g3,CV,L0_W0,0.275337037167267,30337381.482823163
2030,gamma,stylized_g3,CV,L3_W3,0.048957450296121745,5394264.648665907
2030,gamma,stylized_g3,CZ,L0_W0,0.3241202985605945,35712453.52577023
2030,gamma,stylized_g3,CZ,L3_W3,0.042557816287662,4689135.617488211
2030,gamma,stylized_g3,DE,L0_W0,0.22040101421291364,24284381.48448701
